Survey,Season,Year,Tow_Number,Region,Stratum,Grid,Date,Common_Name,Number_Caught,Weight_kg,Subsample_Weight_kg,Subsample_Weight_kg_2,Male_Wt_kg,Female_Wt_kg,Expanded_Catch,Expanded_Weight_kg
FL00,Fall,2000,62,5,2,615,2000-11-30T00:00:00Z,Crab Atlantic Rock,1,0.01,0,,,,1.3333333333333333,0.013333333333333332
FL00,Fall,2000,64,5,1,428,2000-11-30T00:00:00Z,Crab Atlantic Rock,2,0.35000000000000003,0,,,,2,0.35000000000000003
FL00,Fall,2000,65,5,1,453,2000-11-30T00:00:00Z,Crab Atlantic Rock,5,0.4,0,,,,5,0.4
FL00,Fall,2000,68,5,1,261,2000-12-01T00:00:00Z,Crab Atlantic Rock,4,0.6,0,,,,4,0.6
FL00,Fall,2000,69,5,1,264,2000-12-01T00:00:00Z,Crab Atlantic Rock,10,1.4000000000000001,0,,,,10,1.4000000000000001
FL00,Fall,2000,72,5,2,275,2000-12-02T00:00:00Z,Crab Atlantic Rock,3,0.5,0,,,,2.727272727272727,0.45454545454545453
FL00,Fall,2000,73,5,1,173,2000-12-02T00:00:00Z,Crab Atlantic Rock,11,1.85,0,,,,9.565217391304346,1.6086956521739129
FL00,Fall,2000,74,5,2,118,2000-12-03T00:00:00Z,Crab Atlantic Rock,3,0.45,0,,,,3,0.45
FL00,Fall,2000,75,5,3,314,2000-12-03T00:00:00Z,Crab Atlantic Rock,1,0.05,0,,,,1,0.05
FL00,Fall,2000,76,5,3,103,2000-12-03T00:00:00Z,Crab Atlantic Rock,1,0.05,0,,,,1.3333333333333333,0.06666666666666667
FL00,Fall,2000,77,5,3,38,2000-12-04T00:00:00Z,Crab Atlantic Rock,1,0.15,0,,,,1,0.15
FL01,Fall,2001,3,1,2,546,2001-09-24T00:00:00Z,Crab Atlantic Rock,2,0.5,0,,,,2,0.5
FL01,Fall,2001,16,1,1,5,2001-09-28T00:00:00Z,Crab Atlantic Rock,28,4.3,0,,,,28,4.3
FL01,Fall,2001,17,1,2,35,2001-09-28T00:00:00Z,Crab Atlantic Rock,18,1.7,0,,,,24,2.2666666666666666
FL01,Fall,2001,25,2,2,266,2001-10-02T00:00:00Z,Crab Atlantic Rock,24,3.8000000000000003,0,,,,28.235294117647058,4.470588235294118
FL01,Fall,2001,26,2,2,131,2001-10-03T00:00:00Z,Crab Atlantic Rock,7,1.1,0,,,,6.363636363636363,1
FL01,Fall,2001,27,2,1,336,2001-10-03T00:00:00Z,Crab Atlantic Rock,27,2.5,0,,,,27,2.5
FL01,Fall,2001,28,2,1,335,2001-10-03T00:00:00Z,Crab Atlantic Rock,0,0.4,0,,,,0,0.4
FL01,Fall,2001,29,2,1,264,2001-10-03T00:00:00Z,Crab Atlantic Rock,27,3.9,0,,,,27,3.9
FL01,Fall,2001,36,2,1,41,2001-10-05T00:00:00Z,Crab Atlantic Rock,61,7.8,0,,,,61,7.8
FL01,Fall,2001,38,3,3,497,2001-10-08T00:00:00Z,Crab Atlantic Rock,2,0.3,0,,,,1.8181818181818181,0.2727272727272727
FL01,Fall,2001,46,3,1,143,2001-10-11T00:00:00Z,Crab Atlantic Rock,4,0.65,0,,,,4,0.65
FL01,Fall,2001,47,3,1,96,2001-10-11T00:00:00Z,Crab Atlantic Rock,28,3.6,0,,,,29.473684210526315,3.789473684210526
FL01,Fall,2001,59,4,1,2,2001-10-18T00:00:00Z,Crab Atlantic Rock,8,1.05,0,,,,7.6190476190476195,1
FL01,Fall,2001,60,4,2,7,2001-10-18T00:00:00Z,Crab Atlantic Rock,5,0.7000000000000001,0,,,,4.761904761904762,0.6666666666666667
FL01,Fall,2001,62,4,2,55,2001-10-19T00:00:00Z,Crab Atlantic Rock,1,0.12,0,,,,1,0.12
FL01,Fall,2001,63,4,3,482,2001-10-19T00:00:00Z,Crab Atlantic Rock,1,0.06,0,,,,1,0.06
FL01,Fall,2001,68,4,3,268,2001-10-20T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,0.9523809523809524,0.09523809523809525
FL01,Fall,2001,73,5,3,540,2001-10-23T00:00:00Z,Crab Atlantic Rock,1,0.16,0,,,,1,0.16
FL02,Fall,2002,2,1,2,494,2002-10-14T00:00:00Z,Crab Atlantic Rock,1,0.06,0,,,,1,0.06
FL02,Fall,2002,17,2,1,324,2002-10-21T00:00:00Z,Crab Atlantic Rock,1,0.02,0,,,,1,0.02
FL02,Fall,2002,18,2,1,362,2002-10-21T00:00:00Z,Crab Atlantic Rock,2,0.22,0,,,,2.2222222222222223,0.24444444444444446
FL02,Fall,2002,37,3,2,127,2002-10-29T00:00:00Z,Crab Atlantic Rock,1,0.18,0,,,,1.0526315789473684,0.1894736842105263
FL02,Fall,2002,38,3,2,81,2002-10-29T00:00:00Z,Crab Atlantic Rock,2,0.2,0,,,,2,0.2
FL02,Fall,2002,39,3,3,147,2002-10-29T00:00:00Z,Crab Atlantic Rock,3,0.44,0,,,,3,0.44
FL02,Fall,2002,53,4,3,562,2002-11-05T00:00:00Z,Crab Atlantic Rock,2,0.18,0,,,,2,0.18
FL02,Fall,2002,57,4,1,32,2002-11-08T00:00:00Z,Crab Atlantic Rock,20,2.86,0,,,,20,2.86
FL02,Fall,2002,61,4,2,91,2002-11-09T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,1,0.1
FL02,Fall,2002,65,5,2,514,2002-11-12T00:00:00Z,Crab Atlantic Rock,1,0.24,0,,,,1,0.24
FL02,Fall,2002,68,5,3,613,2002-11-14T00:00:00Z,Crab Atlantic Rock,2,0.38,0,,,,1.9047619047619049,0.36190476190476195
FL02,Fall,2002,71,5,3,496,2002-11-15T00:00:00Z,Crab Atlantic Rock,3,0.7000000000000001,0,,,,3,0.7000000000000001
FL02,Fall,2002,73,5,1,173,2002-11-19T00:00:00Z,Crab Atlantic Rock,3,0.58,0,,,,3,0.58
FL02,Fall,2002,75,5,1,85,2002-11-19T00:00:00Z,Crab Atlantic Rock,3,0.62,0,,,,3,0.62
FL02,Fall,2002,79,5,3,62,2002-11-20T00:00:00Z,Crab Atlantic Rock,5,0.52,0,,,,5,0.52
FL02,Fall,2002,80,5,3,21,2002-11-20T00:00:00Z,Crab Atlantic Rock,2,0.3,0,,,,1.8181818181818181,0.2727272727272727
FL03,Fall,2003,27,2,1,224,2003-10-23T00:00:00Z,Crab Atlantic Rock,4,0.32,0,,,,4,0.32
FL03,Fall,2003,28,2,2,228,2003-10-23T00:00:00Z,Crab Atlantic Rock,1,0.02,0,,,,1,0.02
FL03,Fall,2003,32,3,2,103,2003-10-30T00:00:00Z,Crab Atlantic Rock,19,2.32,0,,,,25.333333333333332,3.093333333333333
FL03,Fall,2003,34,3,1,133,2003-10-31T00:00:00Z,Crab Atlantic Rock,2,0.38,0,,,,2,0.38
FL03,Fall,2003,36,3,1,96,2003-10-31T00:00:00Z,Crab Atlantic Rock,1,0.22,0,,,,1.1764705882352942,0.25882352941176473
FL03,Fall,2003,50,4,1,29,2003-11-05T00:00:00Z,Crab Atlantic Rock,1,0.12,0,,,,1,0.12
FL03,Fall,2003,51,4,1,21,2003-11-05T00:00:00Z,Crab Atlantic Rock,1,0.14,0,,,,1,0.14
FL03,Fall,2003,61,4,2,91,2003-11-07T00:00:00Z,Crab Atlantic Rock,2,0.52,0,,,,2.2222222222222223,0.5777777777777778
FL03,Fall,2003,64,5,1,324,2003-11-11T00:00:00Z,Crab Atlantic Rock,1,0.06,0,,,,1.1764705882352942,0.07058823529411765
FL03,Fall,2003,72,5,3,39,2003-11-17T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,1,0.1
FL03,Fall,2003,76,5,1,72,2003-11-18T00:00:00Z,Crab Atlantic Rock,21,3.04,0,,,,21,3.04
FL03,Fall,2003,77,5,1,113,2003-11-18T00:00:00Z,Crab Atlantic Rock,5,0.44,0,,,,5,0.44
FL03,Fall,2003,78,5,1,201,2003-11-18T00:00:00Z,Crab Atlantic Rock,1,0.06,0,,,,1,0.06
FL04,Fall,2004,26,2,1,390,2004-10-19T00:00:00Z,Crab Atlantic Rock,9,0.98,0,,,,12,1.3066666666666666
FL04,Fall,2004,27,2,1,211,2004-10-19T00:00:00Z,Crab Atlantic Rock,1,0.12,0,,,,1.1111111111111112,0.13333333333333333
FL04,Fall,2004,30,2,2,341,2004-10-20T00:00:00Z,Crab Atlantic Rock,1,0.04,0,,,,1,0.04
FL04,Fall,2004,31,2,1,225,2004-10-20T00:00:00Z,Crab Atlantic Rock,15,2.36,0,,,,15,2.36
FL04,Fall,2004,43,3,2,297,2004-10-26T00:00:00Z,Crab Atlantic Rock,11,1.52,0,,,,11,1.52
FL04,Fall,2004,44,3,2,103,2004-10-27T00:00:00Z,Crab Atlantic Rock,4,0.3,0,,,,4,0.3
FL04,Fall,2004,46,3,1,17,2004-10-27T00:00:00Z,Crab Atlantic Rock,19,1.98,0,,,,29.230769230769226,3.046153846153846
FL04,Fall,2004,47,3,1,35,2004-10-27T00:00:00Z,Crab Atlantic Rock,2,0.16,0,,,,2,0.16
FL04,Fall,2004,48,3,1,96,2004-10-27T00:00:00Z,Crab Atlantic Rock,3,0.36,0,,,,3,0.36
FL04,Fall,2004,67,4,2,47,2004-11-07T00:00:00Z,Crab Atlantic Rock,27,3.77,0,,,,31.764705882352942,4.435294117647059
FL04,Fall,2004,68,4,2,12,2004-11-07T00:00:00Z,Crab Atlantic Rock,62,7.98,0,,,,68.88888888888889,8.866666666666667
FL04,Fall,2004,69,4,1,8,2004-11-07T00:00:00Z,Crab Atlantic Rock,28,3.98,0,,,,28,3.98
FL04,Fall,2004,70,4,1,2,2004-11-07T00:00:00Z,Crab Atlantic Rock,25,4.18,0,,,,23.80952380952381,3.980952380952381
FL04,Fall,2004,71,4,2,63,2004-11-07T00:00:00Z,Crab Atlantic Rock,15,2.7800000000000002,0,,,,17.647058823529413,3.270588235294118
FL04,Fall,2004,72,5,3,611,2004-11-08T00:00:00Z,Crab Atlantic Rock,1,0.06,0,,,,1,0.06
FL04,Fall,2004,75,5,1,215,2004-11-09T00:00:00Z,Crab Atlantic Rock,12,1.6600000000000001,0,,,,16,2.2133333333333334
FL04,Fall,2004,77,5,2,465,2004-11-09T00:00:00Z,Crab Atlantic Rock,3,0.8200000000000001,0,,,,3.75,1.0250000000000001
FL04,Fall,2004,83,5,3,47,2004-11-18T00:00:00Z,Crab Atlantic Rock,1,0.2,0,,,,1,0.2
FL04,Fall,2004,84,5,3,88,2004-11-18T00:00:00Z,Crab Atlantic Rock,1,0.18,0,,,,1,0.18
FL04,Fall,2004,85,5,1,71,2004-11-19T00:00:00Z,Crab Atlantic Rock,12,1.2,0,,,,12,1.2
FL05,Fall,2005,4,1,1,417,2005-10-11T00:00:00Z,Crab Atlantic Rock,3,0.22,0,,,,3.1578947368421053,0.23157894736842105
FL05,Fall,2005,13,2,1,362,2005-10-18T00:00:00Z,Crab Atlantic Rock,4,0.5,0,,,,5,0.625
FL05,Fall,2005,19,2,2,377,2005-10-20T00:00:00Z,Crab Atlantic Rock,2,0.35000000000000003,0,,,,2,0.35000000000000003
FL05,Fall,2005,23,2,1,41,2005-10-22T00:00:00Z,Crab Atlantic Rock,3,0.58,0,,,,3.75,0.725
FL05,Fall,2005,31,3,2,127,2005-10-29T00:00:00Z,Crab Atlantic Rock,20,2.92,0,,,,20,2.92
FL05,Fall,2005,32,3,2,89,2005-10-29T00:00:00Z,Crab Atlantic Rock,14,1.76,0,,,,13.333333333333334,1.6761904761904762
FL05,Fall,2005,35,3,2,213,2005-10-30T00:00:00Z,Crab Atlantic Rock,1,0.04,0,,,,1.0526315789473684,0.042105263157894736
FL05,Fall,2005,43,4,2,120,2005-11-02T00:00:00Z,Crab Atlantic Rock,5,0.98,0,,,,5,0.98
FL05,Fall,2005,44,4,1,100,2005-11-02T00:00:00Z,Crab Atlantic Rock,5,0.86,0,,,,5.555555555555555,0.9555555555555556
FL05,Fall,2005,45,4,1,33,2005-11-02T00:00:00Z,Crab Atlantic Rock,14,2.46,0,,,,16.47058823529412,2.8941176470588235
FL05,Fall,2005,46,4,4,658,2005-11-03T00:00:00Z,Crab Atlantic Rock,1,0.06,0,,,,1,0.06
FL05,Fall,2005,49,4,1,28,2005-11-04T00:00:00Z,Crab Atlantic Rock,3,0.34,0,,,,4,0.45333333333333337
FL05,Fall,2005,50,4,2,44,2005-11-04T00:00:00Z,Crab Atlantic Rock,27,3.44,0,,,,27,3.44
FL05,Fall,2005,52,5,1,113,2005-11-11T00:00:00Z,Crab Atlantic Rock,5,0.32,0,,,,5,0.32
FL05,Fall,2005,53,5,2,118,2005-11-11T00:00:00Z,Crab Atlantic Rock,6,0.9400000000000001,0,,,,6,0.9400000000000001
FL05,Fall,2005,54,5,1,71,2005-11-11T00:00:00Z,Crab Atlantic Rock,8,1.12,0,,,,8,1.12
FL06,Fall,2006,27,2,1,323,2006-10-10T00:00:00Z,Crab Atlantic Rock,1,0.05,0,,,,1.3333333333333333,0.06666666666666667
FL06,Fall,2006,28,2,1,420,2006-10-10T00:00:00Z,Crab Atlantic Rock,19,1.22,0,,,,25.333333333333332,1.6266666666666665
FL06,Fall,2006,34,2,2,267,2006-10-13T00:00:00Z,Crab Atlantic Rock,1,0.29,0,,,,1.1111111111111112,0.3222222222222222
FL06,Fall,2006,43,3,1,288,2006-10-17T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,1,0.1
FL06,Fall,2006,49,3,2,136,2006-10-18T00:00:00Z,Crab Atlantic Rock,3,0.34,0,,,,3,0.34
FL06,Fall,2006,50,3,2,29,2006-10-18T00:00:00Z,Crab Atlantic Rock,1,0.11,0,,,,1.3333333333333333,0.14666666666666667
FL06,Fall,2006,51,3,2,89,2006-10-18T00:00:00Z,Crab Atlantic Rock,5,0.56,0,,,,5.263157894736842,0.5894736842105264
FL06,Fall,2006,59,3,1,133,2006-10-20T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,1.1111111111111112,0.11111111111111112
FL06,Fall,2006,69,4,1,134,2006-10-25T00:00:00Z,Crab Atlantic Rock,3,0.46,0,,,,3,0.46
FL06,Fall,2006,71,4,2,86,2006-10-25T00:00:00Z,Crab Atlantic Rock,4,0.79,0,,,,4,0.79
FL06,Fall,2006,76,4,2,36,2006-10-27T00:00:00Z,Crab Atlantic Rock,1,0.09,0,,,,1,0.09
FL06,Fall,2006,78,5,1,233,2006-11-07T00:00:00Z,Crab Atlantic Rock,2,0.38,0,,,,2.5,0.475
FL06,Fall,2006,79,5,1,260,2006-11-07T00:00:00Z,Crab Atlantic Rock,1,0.15,0,,,,1,0.15
FL06,Fall,2006,80,5,1,236,2006-11-07T00:00:00Z,Crab Atlantic Rock,18,3.22,0,,,,18,3.22
FL07,Fall,2007,1,1,1,552,2007-10-01T00:00:00Z,Crab Atlantic Rock,1,0.09,0,,,,1.5384615384615383,0.13846153846153844
FL07,Fall,2007,3,1,1,672,2007-10-01T00:00:00Z,Crab Atlantic Rock,1,0.22,0,,,,1,0.22
FL07,Fall,2007,13,1,1,197,2007-10-03T00:00:00Z,Crab Atlantic Rock,1,0.23,0,,,,1.25,0.28750000000000003
FL07,Fall,2007,21,1,1,8,2007-10-05T00:00:00Z,Crab Atlantic Rock,9,1.08,0,,,,8.571428571428571,1.0285714285714287
FL07,Fall,2007,22,2,1,130,2007-10-08T00:00:00Z,Crab Atlantic Rock,2,0.24,0,,,,2,0.24
FL07,Fall,2007,23,2,1,410,2007-10-08T00:00:00Z,Crab Atlantic Rock,1,0.15,0,,,,1.0526315789473684,0.15789473684210525
FL07,Fall,2007,33,2,1,341,2007-10-10T00:00:00Z,Crab Atlantic Rock,4,0.56,0,,,,5.333333333333333,0.7466666666666667
FL07,Fall,2007,34,2,1,264,2007-10-10T00:00:00Z,Crab Atlantic Rock,4,0.48,0,,,,4,0.48
FL07,Fall,2007,40,3,1,254,2007-10-15T00:00:00Z,Crab Atlantic Rock,1,0.07,0,,,,1,0.07
FL07,Fall,2007,41,3,2,390,2007-10-15T00:00:00Z,Crab Atlantic Rock,1,0.05,0,,,,1,0.05
FL07,Fall,2007,47,3,3,177,2007-10-17T00:00:00Z,Crab Atlantic Rock,14,2.04,0,,,,17.5,2.55
FL07,Fall,2007,48,3,2,113,2007-10-17T00:00:00Z,Crab Atlantic Rock,10,0.98,0,,,,15.384615384615383,1.5076923076923074
FL07,Fall,2007,54,3,1,91,2007-10-19T00:00:00Z,Crab Atlantic Rock,1,0.08,0,,,,1.5384615384615383,0.12307692307692307
FL07,Fall,2007,55,3,2,5,2007-10-19T00:00:00Z,Crab Atlantic Rock,2,0.38,0,,,,2,0.38
FL07,Fall,2007,56,3,1,55,2007-10-19T00:00:00Z,Crab Atlantic Rock,5,0.52,0,,,,5,0.52
FL07,Fall,2007,57,3,1,133,2007-10-19T00:00:00Z,Crab Atlantic Rock,2,0.24,0,,,,3.0769230769230766,0.3692307692307692
FL07,Fall,2007,62,4,1,78,2007-10-23T00:00:00Z,Crab Atlantic Rock,1,0.13,0,,,,1,0.13
FL07,Fall,2007,64,4,2,111,2007-10-23T00:00:00Z,Crab Atlantic Rock,8,1.28,0,,,,8.88888888888889,1.4222222222222223
FL07,Fall,2007,65,4,4,703,2007-10-24T00:00:00Z,Crab Atlantic Rock,1,0.11,0,,,,1,0.11
FL07,Fall,2007,71,4,1,99,2007-10-25T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,1.1111111111111112,0.11111111111111112
FL07,Fall,2007,79,5,1,479,2007-10-29T00:00:00Z,Crab Atlantic Rock,2,0.38,0,,,,3.333333333333333,0.6333333333333333
FL07,Fall,2007,80,5,1,255,2007-10-30T00:00:00Z,Crab Atlantic Rock,6,0.56,0,,,,7.0588235294117645,0.6588235294117648
FL07,Fall,2007,85,5,3,370,2007-11-05T00:00:00Z,Crab Atlantic Rock,1,0.18,0,,,,1.4285714285714284,0.2571428571428571
FL07,Fall,2007,87,5,3,90,2007-11-07T00:00:00Z,Crab Atlantic Rock,1,0.26,0,,,,1.1764705882352942,0.3058823529411765
FL08,Fall,2008,4,1,1,554,2008-09-30T00:00:00Z,Crab Atlantic Rock,4,0.28,0,,,,4,0.28
FL08,Fall,2008,15,1,1,141,2008-10-04T00:00:00Z,Crab Atlantic Rock,16,0.4,0,,,,16,0.4
FL08,Fall,2008,16,1,1,1,2008-10-04T00:00:00Z,Crab Atlantic Rock,30,1.3,0,,,,46.153846153846146,2
FL08,Fall,2008,18,2,1,154,2008-10-06T00:00:00Z,Crab Atlantic Rock,3,0.32,0,,,,4.285714285714285,0.4571428571428571
FL08,Fall,2008,20,2,1,337,2008-10-06T00:00:00Z,Crab Atlantic Rock,3,0.3,0,,,,4,0.39999999999999997
FL08,Fall,2008,27,2,2,425,2008-10-08T00:00:00Z,Crab Atlantic Rock,1,0.08,0,,,,1,0.08
FL08,Fall,2008,38,3,2,8,2008-10-14T00:00:00Z,Crab Atlantic Rock,8,0.96,0,,,,8.421052631578947,1.0105263157894735
FL08,Fall,2008,39,3,2,43,2008-10-14T00:00:00Z,Crab Atlantic Rock,1,0.12,0,,,,1.0526315789473684,0.1263157894736842
FL08,Fall,2008,40,3,2,142,2008-10-14T00:00:00Z,Crab Atlantic Rock,8,1.05,0,,,,8,1.05
FL08,Fall,2008,51,3,1,131,2008-10-17T00:00:00Z,Crab Atlantic Rock,15,2.2,0,,,,20,2.9333333333333336
FL08,Fall,2008,52,3,1,108,2008-10-17T00:00:00Z,Crab Atlantic Rock,2,0.28,0,,,,2.6666666666666665,0.37333333333333335
FL08,Fall,2008,53,4,1,78,2008-10-20T00:00:00Z,Crab Atlantic Rock,14,1.68,0,,,,14.736842105263158,1.768421052631579
FL08,Fall,2008,62,4,2,9,2008-10-24T00:00:00Z,Crab Atlantic Rock,1,0.12,0,,,,1,0.12
FL08,Fall,2008,63,4,1,4,2008-10-24T00:00:00Z,Crab Atlantic Rock,1,0.06,0,,,,1,0.06
FL08,Fall,2008,64,4,1,12,2008-10-24T00:00:00Z,Crab Atlantic Rock,2,0.18,0,,,,2,0.18
FL08,Fall,2008,65,4,2,41,2008-10-24T00:00:00Z,Crab Atlantic Rock,3,0.62,0,,,,3,0.62
FL08,Fall,2008,71,5,1,234,2008-10-30T00:00:00Z,Crab Atlantic Rock,32,2.34,0,,,,35.55555555555556,2.6
FL08,Fall,2008,72,5,3,633,2008-10-31T00:00:00Z,Crab Atlantic Rock,2,0.04,0,,,,2.1052631578947367,0.042105263157894736
FL08,Fall,2008,75,5,1,114,2008-11-01T00:00:00Z,Crab Atlantic Rock,12,1.62,0,,,,30,4.050000000000001
FL08,Fall,2008,76,5,1,115,2008-11-01T00:00:00Z,Crab Atlantic Rock,20,2.46,0,,,,20,2.46
FL08,Fall,2008,78,5,2,209,2008-11-02T00:00:00Z,Crab Atlantic Rock,31,4.04,0,,,,31,4.04
FL09,Fall,2009,15,1,1,1,2009-10-08T00:00:00Z,Crab Atlantic Rock,8,0.14,0,,,,10.666666666666666,0.18666666666666668
FL09,Fall,2009,16,1,1,14,2009-10-08T00:00:00Z,Crab Atlantic Rock,2,0.34,0,,,,2,0.34
FL09,Fall,2009,26,2,1,250,2009-10-13T00:00:00Z,Crab Atlantic Rock,19,0.9,0,,,,20,0.9473684210526315
FL09,Fall,2009,27,2,1,182,2009-10-13T00:00:00Z,Crab Atlantic Rock,6,0.42,0,,,,6,0.42
FL09,Fall,2009,28,2,1,301,2009-10-13T00:00:00Z,Crab Atlantic Rock,1,0.26,0,,,,1,0.26
FL09,Fall,2009,30,2,1,192,2009-10-14T00:00:00Z,Crab Atlantic Rock,5,0.28,0,,,,5,0.28
FL09,Fall,2009,44,3,1,37,2009-10-21T00:00:00Z,Crab Atlantic Rock,1,0.12,0,,,,1,0.12
FL09,Fall,2009,45,3,1,47,2009-10-21T00:00:00Z,Crab Atlantic Rock,11,1.1400000000000001,0,,,,14.666666666666666,1.52
FL09,Fall,2009,46,3,2,143,2009-10-21T00:00:00Z,Crab Atlantic Rock,14,2.18,0,,,,17.5,2.725
FL09,Fall,2009,47,3,2,127,2009-10-21T00:00:00Z,Crab Atlantic Rock,4,0.48,0,,,,5,0.6
FL09,Fall,2009,48,3,2,59,2009-10-21T00:00:00Z,Crab Atlantic Rock,10,1.2,0,,,,10,1.2
FL09,Fall,2009,49,3,1,151,2009-10-21T00:00:00Z,Crab Atlantic Rock,1,0.1,0,,,,1,0.1
FL09,Fall,2009,54,3,3,312,2009-10-23T00:00:00Z,Crab Atlantic Rock,1,0.13,0,,,,1,0.13
FL09,Fall,2009,67,4,2,111,2009-10-28T00:00:00Z,Crab Atlantic Rock,9,1.32,0,,,,11.25,1.6500000000000001
FL09,Fall,2009,68,4,2,79,2009-10-28T00:00:00Z,Crab Atlantic Rock,8,1.26,0,,,,8,1.26
