Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
Reich, Peter
Knope, Johannes
Wedin, David
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"","Exp","Year","Month","Plot","NumSp","SpNum","AbvBioAnnProd","noh020tot","Field","FieldPlot"
"358",120,1998,8,34,16,17,88.8333,0,1,"1 34"
"526",120,1999,8,34,16,17,85.6917,0.0112,1,"1 34"
"694",120,2000,8,34,16,17,155.9,0.0065,1,"1 34"
"1030",120,2001,8,34,16,17,166.412,0.0886,1,"1 34"
"1198",120,2002,8,34,16,17,286.854,0.0155,1,"1 34"
"1366",120,2003,8,34,16,17,215.603,NA,1,"1 34"
"1534",120,2004,8,34,16,17,328.775,NA,1,"1 34"
"1702",120,2005,8,34,16,17,218.368,NA,1,"1 34"
"242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",120,1996,8,35,16,17,297.133,0.0998,1,"1 35"
"191",120,1997,8,35,16,17,91.9417,0.0367,1,"1 35"
"359",120,1998,8,35,16,17,203.65,0.0931,1,"1 35"
"527",120,1999,8,35,16,17,151.228,0.0651,1,"1 35"
"695",120,2000,8,35,16,17,214.054,0.0542,1,"1 35"
"1031",120,2001,8,35,16,17,327.121,0.17625,1,"1 35"
"1199",120,2002,8,35,16,17,259.741,0.0417,1,"1 35"
"1367",120,2003,8,35,16,17,358.28,NA,1,"1 35"
"1535",120,2004,8,35,16,17,312.441,NA,1,"1 35"
"1703",120,2005,8,35,16,17,196.585,NA,1,"1 35"
"253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",120,1996,8,44,4,5,25.166,0.0936,1,"1 44"
"192",120,1997,8,44,4,5,96.4165,0.2579,1,"1 44"
"360",120,1998,8,44,4,5,172.958,0.0339,1,"1 44"
"528",120,1999,8,44,4,5,308.317,0.1452,1,"1 44"
"696",120,2000,8,44,4,5,143.954,0.0518,1,"1 44"
"1032",120,2001,8,44,4,5,149.546,0.20005,1,"1 44"
"1200",120,2002,8,44,4,5,211.697,0.0215,1,"1 44"
"1368",120,2003,8,44,4,5,205.625,NA,1,"1 44"
"1536",120,2004,8,44,4,5,201.045,NA,1,"1 44"
"1704",120,2005,8,44,4,5,157.045,NA,1,"1 44"
"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",120,1996,8,45,4,4,29.725,0.0715,1,"1 45"
"193",120,1997,8,45,4,4,39.2,0.1072,1,"1 45"
"361",120,1998,8,45,4,4,60.2333,0.0156,1,"1 45"
"529",120,1999,8,45,4,4,193.033,0.0995,1,"1 45"
"697",120,2000,8,45,4,4,174.55,NA,1,"1 45"
"1033",120,2001,8,45,4,4,75.675,0.09255,1,"1 45"
"1201",120,2002,8,45,4,4,127,0.0167,1,"1 45"
"1369",120,2003,8,45,4,4,158.33,NA,1,"1 45"
"1537",120,2004,8,45,4,4,175.43,NA,1,"1 45"
"1705",120,2005,8,45,4,4,144.75,NA,1,"1 45"
"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",120,1996,8,46,16,17,120.175,0.0551,1,"1 46"
"194",120,1997,8,46,16,17,55.5165,0.1544,1,"1 46"
"362",120,1998,8,46,16,17,250.842,0,1,"1 46"
"530",120,1999,8,46,16,17,107.678,0.0986,1,"1 46"
"698",120,2000,8,46,16,17,229.183,0.0163,1,"1 46"
"1034",120,2001,8,46,16,17,276.284,0.16645,1,"1 46"
"1202",120,2002,8,46,16,17,253.647,0.0182,1,"1 46"
"1370",120,2003,8,46,16,17,266.708,NA,1,"1 46"
"1538",120,2004,8,46,16,17,319.305,NA,1,"1 46"
"1706",120,2005,8,46,16,17,324.934,NA,1,"1 46"
"286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",120,1996,8,48,2,2,129.625,0.1247,1,"1 48"
"195",120,1997,8,48,2,2,198.525,0.304,1,"1 48"
"363",120,1998,8,48,2,2,363.425,0.0467,1,"1 48"
"531",120,1999,8,48,2,2,206.921,0.2532,1,"1 48"
"699",120,2000,8,48,2,2,302.729,0.0669,1,"1 48"
"1035",120,2001,8,48,2,2,205.779,0.24635,1,"1 48"
"1203",120,2002,8,48,2,2,295.34,0.0466,1,"1 48"
"1371",120,2003,8,48,2,2,286.975,NA,1,"1 48"
"1539",120,2004,8,48,2,2,242.817,NA,1,"1 48"
"1707",120,2005,8,48,2,2,165.703,NA,1,"1 48"
"297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",120,1996,8,50,8,9,131.467,0.1726,1,"1 50"
"196",120,1997,8,50,8,9,259.608,0.0538,1,"1 50"
"364",120,1998,8,50,8,9,307.15,0.0908,1,"1 50"
"532",120,1999,8,50,8,9,205.45,0.3562,1,"1 50"
"700",120,2000,8,50,8,9,226.1,0.1203,1,"1 50"
"1036",120,2001,8,50,8,9,240.587,0.2352,1,"1 50"
"1204",120,2002,8,50,8,9,260.946,0.1462,1,"1 50"
"1372",120,2003,8,50,8,9,257.95,NA,1,"1 50"
"1540",120,2004,8,50,8,9,192.762,NA,1,"1 50"
"1708",120,2005,8,50,8,9,203.608,NA,1,"1 50"
"308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",120,1996,8,53,4,4,143.875,0.1045,1,"1 53"
"197",120,1997,8,53,4,4,299.833,0.1196,1,"1 53"
"365",120,1998,8,53,4,4,266.65,0.0556,1,"1 53"
"533",120,1999,8,53,4,4,252.9,0.0216,1,"1 53"
"701",120,2000,8,53,4,4,193.388,0.0934,1,"1 53"
"1037",120,2001,8,53,4,4,135.6,0.2915,1,"1 53"
"1205",120,2002,8,53,4,4,178.993,0.064,1,"1 53"
"1373",120,2003,8,53,4,4,145.113,NA,1,"1 53"
"1541",120,2004,8,53,4,4,150.612,NA,1,"1 53"
"1709",120,2005,8,53,4,4,106.051,NA,1,"1 53"
"319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",120,1996,8,56,2,2,93.617,0.3294,1,"1 56"
"1981",120,1997,8,56,2,2,150.375,0.1522,1,"1 56"
"366",120,1998,8,56,2,2,250.083,0.0156,1,"1 56"
"534",120,1999,8,56,2,2,230.283,0.143,1,"1 56"
"702",120,2000,8,56,2,2,363.946,NA,1,"1 56"
"1038",120,2001,8,56,2,2,205.409,0.17885,1,"1 56"
"1206",120,2002,8,56,2,2,284.608,0.1603,1,"1 56"
"1374",120,2003,8,56,2,2,461.396,NA,1,"1 56"
"1542",120,2004,8,56,2,2,370.779,NA,1,"1 56"
"1710",120,2005,8,56,2,2,187.003,NA,1,"1 56"
"330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",120,1996,8,57,8,10,252.742,0.1262,1,"1 57"
"199",120,1997,8,57,8,10,196.067,0.0515,1,"1 57"
"367",120,1998,8,57,8,10,296.358,0.0119,1,"1 57"
"535",120,1999,8,57,8,10,256.783,0.0016,1,"1 57"
"703",120,2000,8,57,8,10,336.884,NA,1,"1 57"
"1039",120,2001,8,57,8,10,236.841,0.111,1,"1 57"
"1207",120,2002,8,57,8,10,273.201,0.4959,1,"1 57"
"1375",120,2003,8,57,8,10,346.021,NA,1,"1 57"
"1543",120,2004,8,57,8,10,219.562,NA,1,"1 57"
"1711",120,2005,8,57,8,10,210.134,NA,1,"1 57"
"3411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",120,1996,8,58,4,5,130.041,0.1276,1,"1 58"
"200",120,1997,8,58,4,5,138.292,0.0305,1,"1 58"
"368",120,1998,8,58,4,5,91.0583,0,1,"1 58"
"536",120,1999,8,58,4,5,95.05,0.023,1,"1 58"
"704",120,2000,8,58,4,5,115.579,NA,1,"1 58"
"1040",120,2001,8,58,4,5,81.1835,0.1349,1,"1 58"
"1208",120,2002,8,58,4,5,153.473,0.0422,1,"1 58"
"1376",120,2003,8,58,4,5,96.4295,NA,1,"1 58"
"1544",120,2004,8,58,4,5,61.102,NA,1,"1 58"
"1712",120,2005,8,58,4,5,59.76,NA,1,"1 58"
"3521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3310",120,1996,8,62,4,5,196.992,0.1805,1,"1 62"
"201",120,1997,8,62,4,5,219,0.1758,1,"1 62"
"369",120,1998,8,62,4,5,353.65,0.1061,1,"1 62"
"537",120,1999,8,62,4,5,200.842,0.513,1,"1 62"
"705",120,2000,8,62,4,5,202.054,0.2078,1,"1 62"
"1041",120,2001,8,62,4,5,194.235,0.34395,1,"1 62"
"1209",120,2002,8,62,4,5,169.034,0.1584,1,"1 62"
"1377",120,2003,8,62,4,5,251.407,NA,1,"1 62"
"1545",120,2004,8,62,4,5,224.774,NA,1,"1 62"
"1713",120,2005,8,62,4,5,210.3,NA,1,"1 62"
"3631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",120,1996,8,67,8,10,227.558,0.1224,1,"1 67"
"202",120,1997,8,67,8,10,389.708,0.104,1,"1 67"
"370",120,1998,8,67,8,10,400.792,0.0075,1,"1 67"
"538",120,1999,8,67,8,10,436.233,0.058,1,"1 67"
"706",120,2000,8,67,8,10,341.792,0.0595,1,"1 67"
"1042",120,2001,8,67,8,10,276.154,0.122,1,"1 67"
"1210",120,2002,8,67,8,10,499.808,0.0458,1,"1 67"
"1378",120,2003,8,67,8,10,503.967,NA,1,"1 67"
"1546",120,2004,8,67,8,10,437.193,NA,1,"1 67"
"1714",120,2005,8,67,8,10,396.458,NA,1,"1 67"
"374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",120,1996,8,68,16,17,210.442,0.1469,1,"1 68"
"203",120,1997,8,68,16,17,324.717,0.0508,1,"1 68"
"371",120,1998,8,68,16,17,238.842,0.0127,1,"1 68"
"539",120,1999,8,68,16,17,567.867,0.0515,1,"1 68"
"707",120,2000,8,68,16,17,363.796,0.0849,1,"1 68"
"1043",120,2001,8,68,16,17,373.197,0.24605,1,"1 68"
"1211",120,2002,8,68,16,17,560.631,0.0173,1,"1 68"
"1379",120,2003,8,68,16,17,388.277,NA,1,"1 68"
"1547",120,2004,8,68,16,17,425.837,NA,1,"1 68"
"1715",120,2005,8,68,16,17,349.599,NA,1,"1 68"
"385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",120,1996,8,69,1,1,NA,NA,1,"1 69"
