Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Wedin, David
Tilman, David 
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"monoculture","litbiomass","year","plot","subplot","abvbiomass","totaln","exp","yearest","nlevel","plotsubplot","Field","FieldPlot"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",178.5,1990,10,38,107.25,0.053432,"e026",1985,2,"10 38",1,"1 10 38"
"Agrostis scabra",74.5,1991,10,38,82.5,0.053432,"e026",1985,2,"10 38",1,"1 10 38"
"Agrostis scabra",139.09,1992,10,38,118.41,0.053432,"e026",1985,2,"10 38",1,"1 10 38"
"Agrostis scabra",78.25,1993,10,38,110,0.053432,"e026",1985,2,"10 38",1,"1 10 38"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",4.662,1986,10,44,80.41958,0.048493,"e026",1985,2,"10 44",1,"1 10 44"
"Agrostis scabra",126.24709,1987,10,44,156.45688,0.048493,"e026",1985,2,"10 44",1,"1 10 44"
"Agrostis scabra",184.8,1988,10,44,106.85,0.048493,"e026",1985,2,"10 44",1,"1 10 44"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",259,1990,10,44,138.25,0.048493,"e026",1985,2,"10 44",1,"1 10 44"
"Agrostis scabra",106.5,1991,10,44,84,0.048493,"e026",1985,2,"10 44",1,"1 10 44"
"Agrostis scabra",22,1992,10,44,73.25,0.048493,"e026",1985,2,"10 44",1,"1 10 44"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",2.77389,1986,10,45,86.66667,0.05234,"e026",1985,2,"10 45",1,"1 10 45"
"Agrostis scabra",0,1987,10,45,113.65967,0.05234,"e026",1985,2,"10 45",1,"1 10 45"
"Agrostis scabra",47,1988,10,45,140.25,0.05234,"e026",1985,2,"10 45",1,"1 10 45"
"Agrostis scabra",5.75,1989,10,45,19.75,0.05234,"e026",1985,2,"10 45",1,"1 10 45"
"Agrostis scabra",40,1990,10,45,142.75,0.05234,"e026",1985,2,"10 45",1,"1 10 45"
"Agrostis scabra",118.75,1991,10,45,192.5,0.05234,"e026",1985,2,"10 45",1,"1 10 45"
"Agrostis scabra",10.75,1992,10,45,132,0.05234,"e026",1985,2,"10 45",1,"1 10 45"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0,1986,10,48,77.15618,0.049201,"e026",1985,2,"10 48",1,"1 10 48"
"Agrostis scabra",0,1987,10,48,227.27274,0.049201,"e026",1985,2,"10 48",1,"1 10 48"
"Agrostis scabra",34.25,1988,10,48,110.25,0.049201,"e026",1985,2,"10 48",1,"1 10 48"
"Agrostis scabra",52.25,1989,10,48,196.5,0.049201,"e026",1985,2,"10 48",1,"1 10 48"
"Agrostis scabra",67,1990,10,48,148,0.049201,"e026",1985,2,"10 48",1,"1 10 48"
"Agrostis scabra",24.25,1991,10,48,374.75,0.049201,"e026",1985,2,"10 48",1,"1 10 48"
"Agrostis scabra",22.75,1992,10,48,65.5,0.049201,"e026",1985,2,"10 48",1,"1 10 48"
"Agrostis scabra",3.25,1993,10,48,16.25,0.049201,"e026",1985,2,"10 48",1,"1 10 48"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0,1986,10,9,108.53147,0.053624,"e026",1985,2,"10 9",1,"1 10 9"
"Agrostis scabra",0,1987,10,9,195.338,0.053624,"e026",1985,2,"10 9",1,"1 10 9"
"Agrostis scabra",47.5,1988,10,9,118.75,0.053624,"e026",1985,2,"10 9",1,"1 10 9"
"Agrostis scabra",15.75,1989,10,9,141,0.053624,"e026",1985,2,"10 9",1,"1 10 9"
"Agrostis scabra",10,1990,10,9,31.75,0.053624,"e026",1985,2,"10 9",1,"1 10 9"
"Agrostis scabra",177.5,1991,10,9,72,0.053624,"e026",1985,2,"10 9",1,"1 10 9"
"Agrostis scabra",31,1992,10,9,58.75,0.053624,"e026",1985,2,"10 9",1,"1 10 9"
"Agrostis scabra",24.5,1993,10,9,34.75,0.053624,"e026",1985,2,"10 9",1,"1 10 9"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0.62937,1986,1,15,161.77156,0.088833,"e026",1985,3,"1 15",1,"1 1 15"
"Agrostis scabra",0,1987,1,15,352.19113,0.088833,"e026",1985,3,"1 15",1,"1 1 15"
"Agrostis scabra",50.125,1988,1,15,136.925,0.088833,"e026",1985,3,"1 15",1,"1 1 15"
"Agrostis scabra",92,1989,1,15,350.25,0.088833,"e026",1985,3,"1 15",1,"1 1 15"
"Agrostis scabra",51,1990,1,15,86.75,0.088833,"e026",1985,3,"1 15",1,"1 1 15"
"Agrostis scabra",308,1991,1,15,95,0.088833,"e026",1985,3,"1 15",1,"1 1 15"
"Agrostis scabra",229,1992,1,15,198.25,0.088833,"e026",1985,3,"1 15",1,"1 1 15"
"Agrostis scabra",75,1993,1,15,244.75,0.088833,"e026",1985,3,"1 15",1,"1 1 15"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",27.5,1989,12,12,17,0.047554,"e026",1985,NA,"12 12",1,"1 12 12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",9.75,1989,12,8,56,0.037656,"e026",1985,NA,"12 8",1,"1 12 8"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",21,1989,13,11,7,0.046092,"e026",1985,NA,"13 11",1,"1 13 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0,1986,1,36,188.04196,0.076935,"e026",1985,3,"1 36",1,"1 1 36"
"Agrostis scabra",0,1987,1,36,504.54544,0.076935,"e026",1985,3,"1 36",1,"1 1 36"
"Agrostis scabra",86.25,1988,1,36,198.25,0.076935,"e026",1985,3,"1 36",1,"1 1 36"
"Agrostis scabra",31.5,1989,1,36,170.5,0.076935,"e026",1985,3,"1 36",1,"1 1 36"
"Agrostis scabra",70.575,1990,1,36,114.25,0.076935,"e026",1985,3,"1 36",1,"1 1 36"
"Agrostis scabra",373,1991,1,36,67.5,0.076935,"e026",1985,3,"1 36",1,"1 1 36"
"Agrostis scabra",134,1992,1,36,28.5,0.076935,"e026",1985,3,"1 36",1,"1 1 36"
"Agrostis scabra",168,1993,1,36,224,0.076935,"e026",1985,3,"1 36",1,"1 1 36"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",1,1989,13,7,0.25,0.051012,"e026",1985,NA,"13 7",1,"1 13 7"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0,1986,1,41,236.92308,0.095879,"e026",1985,3,"1 41",1,"1 1 41"
"Agrostis scabra",0,1987,1,41,457.80887,0.095879,"e026",1985,3,"1 41",1,"1 1 41"
"Agrostis scabra",188.75,1988,1,41,273.25,0.095879,"e026",1985,3,"1 41",1,"1 1 41"
"Agrostis scabra",111,1989,1,41,143,0.095879,"e026",1985,3,"1 41",1,"1 1 41"
"Agrostis scabra",73.25,1990,1,41,334.25,0.095879,"e026",1985,3,"1 41",1,"1 1 41"
"Agrostis scabra",341.5,1991,1,41,16.75,0.095879,"e026",1985,3,"1 41",1,"1 1 41"
"Agrostis scabra",72.5,1992,1,41,19.75,0.095879,"e026",1985,3,"1 41",1,"1 1 41"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",19,1989,14,11,44.75,0.041367,"e026",1985,NA,"14 11",1,"1 14 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",23.75,1989,14,15,39,0.050511,"e026",1985,NA,"14 15",1,"1 14 15"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",4.49883,1986,1,43,276.03729,0.074105,"e026",1985,3,"1 43",1,"1 1 43"
"Agrostis scabra",0,1987,1,43,404.42889,0.074105,"e026",1985,3,"1 43",1,"1 1 43"
"Agrostis scabra",148.75,1988,1,43,218,0.074105,"e026",1985,3,"1 43",1,"1 1 43"
"Agrostis scabra",89.5,1989,1,43,314,0.074105,"e026",1985,3,"1 43",1,"1 1 43"
"Agrostis scabra",32.25,1990,1,43,145.5,0.074105,"e026",1985,3,"1 43",1,"1 1 43"
"Agrostis scabra",45.25,1991,1,43,96,0.074105,"e026",1985,3,"1 43",1,"1 1 43"
"Agrostis scabra",118.638,1992,1,43,184.773,0.074105,"e026",1985,3,"1 43",1,"1 1 43"
"Agrostis scabra",85,1993,1,43,253.25,0.074105,"e026",1985,3,"1 43",1,"1 1 43"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0,1986,1,44,217.38928,0.079276,"e026",1985,3,"1 44",1,"1 1 44"
"Agrostis scabra",0,1987,1,44,399.0676,0.079276,"e026",1985,3,"1 44",1,"1 1 44"
"Agrostis scabra",37.425,1988,1,44,88.725,0.079276,"e026",1985,3,"1 44",1,"1 1 44"
"Agrostis scabra",59,1989,1,44,169,0.079276,"e026",1985,3,"1 44",1,"1 1 44"
"Agrostis scabra",40.25,1990,1,44,202.75,0.079276,"e026",1985,3,"1 44",1,"1 1 44"
"Agrostis scabra",190,1991,1,44,55.5,0.079276,"e026",1985,3,"1 44",1,"1 1 44"
"Agrostis scabra",302.728,1992,1,44,142.955,0.079276,"e026",1985,3,"1 44",1,"1 1 44"
"Agrostis scabra",103.25,1993,1,44,156.75,0.079276,"e026",1985,3,"1 44",1,"1 1 44"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",19.65035,1986,1,54,110.37296,0.063028,"e026",1985,3,"1 54",1,"1 1 54"
"Agrostis scabra",217.97203,1987,1,54,166.43356,0.063028,"e026",1985,3,"1 54",1,"1 1 54"
"Agrostis scabra",221,1988,1,54,156.02499,0.063028,"e026",1985,3,"1 54",1,"1 1 54"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",166,1990,1,54,178.5,0.063028,"e026",1985,3,"1 54",1,"1 1 54"
"Agrostis scabra",130.5,1991,1,54,125.75,0.063028,"e026",1985,3,"1 54",1,"1 1 54"
"Agrostis scabra",265.25,1992,1,54,173.5,0.063028,"e026",1985,3,"1 54",1,"1 1 54"
"Agrostis scabra",110.5,1993,1,54,153.75,0.063028,"e026",1985,3,"1 54",1,"1 1 54"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",1.14219,1986,1,8,153.37994,0.080542,"e026",1985,3,"1 8",1,"1 1 8"
"Agrostis scabra",0,1987,1,8,483.91608,0.080542,"e026",1985,3,"1 8",1,"1 1 8"
"Agrostis scabra",72.55,1988,1,8,260.27499,0.080542,"e026",1985,3,"1 8",1,"1 1 8"
"Agrostis scabra",149.5,1989,1,8,221.75,0.080542,"e026",1985,3,"1 8",1,"1 1 8"
"Agrostis scabra",105.3,1990,1,8,231.075,0.080542,"e026",1985,3,"1 8",1,"1 1 8"
"Agrostis scabra",135.5,1991,1,8,42.25,0.080542,"e026",1985,3,"1 8",1,"1 1 8"
"Agrostis scabra",188.41,1992,1,8,115,0.080542,"e026",1985,3,"1 8",1,"1 1 8"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",18.92774,1986,1,9,103.28671,0.105603,"e026",1985,3,"1 9",1,"1 1 9"
"Agrostis scabra",214.91841,1987,1,9,189.5338,0.105603,"e026",1985,3,"1 9",1,"1 1 9"
"Agrostis scabra",450.25,1988,1,9,263.5,0.105603,"e026",1985,3,"1 9",1,"1 1 9"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",331,1990,1,9,214.75,0.105603,"e026",1985,3,"1 9",1,"1 1 9"
"Agrostis scabra",296.75,1991,1,9,136.5,0.105603,"e026",1985,3,"1 9",1,"1 1 9"
"Agrostis scabra",527.5,1992,1,9,197.5,0.105603,"e026",1985,3,"1 9",1,"1 1 9"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0.74592,1986,2,11,89.18415,0.024648,"e026",1985,1,"2 11",1,"1 2 11"
"Agrostis scabra",0,1987,2,11,201.60838,0.024648,"e026",1985,1,"2 11",1,"1 2 11"
"Agrostis scabra",17,1988,2,11,64.25,0.024648,"e026",1985,1,"2 11",1,"1 2 11"
"Agrostis scabra",8.75,1989,2,11,106,0.024648,"e026",1985,1,"2 11",1,"1 2 11"
"Agrostis scabra",21.475,1990,2,11,119.25,0.024648,"e026",1985,1,"2 11",1,"1 2 11"
"Agrostis scabra",40.25,1991,2,11,30,0.024648,"e026",1985,1,"2 11",1,"1 2 11"
"Agrostis scabra",35.75,1992,2,11,7.25,0.024648,"e026",1985,1,"2 11",1,"1 2 11"
"Agrostis scabra",13.75,1993,2,11,11.25,0.024648,"e026",1985,1,"2 11",1,"1 2 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",13.35664,1986,2,34,33.7296,0.02621,"e026",1985,1,"2 34",1,"1 2 34"
"Agrostis scabra",117.71562,1987,2,34,95.54779,0.02621,"e026",1985,1,"2 34",1,"1 2 34"
"Agrostis scabra",55.375,1988,2,34,61.45,0.02621,"e026",1985,1,"2 34",1,"1 2 34"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",106.5,1990,2,34,74.75,0.02621,"e026",1985,1,"2 34",1,"1 2 34"
"Agrostis scabra",26,1991,2,34,32.25,0.02621,"e026",1985,1,"2 34",1,"1 2 34"
"Agrostis scabra",50.333,1992,2,34,66.3,0.02621,"e026",1985,1,"2 34",1,"1 2 34"
"Agrostis scabra",52.5,1993,2,34,78,0.02621,"e026",1985,1,"2 34",1,"1 2 34"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0.51282,1986,2,36,55.64103,0.02259,"e026",1985,1,"2 36",1,"1 2 36"
"Agrostis scabra",0,1987,2,36,90.88578,0.02259,"e026",1985,1,"2 36",1,"1 2 36"
"Agrostis scabra",22.5,1988,2,36,97.5,0.02259,"e026",1985,1,"2 36",1,"1 2 36"
"Agrostis scabra",3.5,1989,2,36,57,0.02259,"e026",1985,1,"2 36",1,"1 2 36"
"Agrostis scabra",23.525,1990,2,36,31.15,0.02259,"e026",1985,1,"2 36",1,"1 2 36"
"Agrostis scabra",46,1991,2,36,63.75,0.02259,"e026",1985,1,"2 36",1,"1 2 36"
"Agrostis scabra",14,1992,2,36,125,0.02259,"e026",1985,1,"2 36",1,"1 2 36"
"Agrostis scabra",95.25,1993,2,36,227.25,0.02259,"e026",1985,1,"2 36",1,"1 2 36"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0.86247,1986,2,39,57.97203,0.027309,"e026",1985,1,"2 39",1,"1 2 39"
"Agrostis scabra",0,1987,2,39,113.98601,0.027309,"e026",1985,1,"2 39",1,"1 2 39"
"Agrostis scabra",2.675,1988,2,39,102.275,0.027309,"e026",1985,1,"2 39",1,"1 2 39"
"Agrostis scabra",12.5,1989,2,39,66.75,0.027309,"e026",1985,1,"2 39",1,"1 2 39"
"Agrostis scabra",32,1990,2,39,199.25,0.027309,"e026",1985,1,"2 39",1,"1 2 39"
"Agrostis scabra",67.75,1991,2,39,22,0.027309,"e026",1985,1,"2 39",1,"1 2 39"
"Agrostis scabra",3.5,1992,2,39,93.5,0.027309,"e026",1985,1,"2 39",1,"1 2 39"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0.25641,1986,2,43,66.41026,0.026188,"e026",1985,1,"2 43",1,"1 2 43"
"Agrostis scabra",0,1987,2,43,107.36597,0.026188,"e026",1985,1,"2 43",1,"1 2 43"
"Agrostis scabra",1.85,1988,2,43,64.15,0.026188,"e026",1985,1,"2 43",1,"1 2 43"
"Agrostis scabra",6.75,1989,2,43,109.75,0.026188,"e026",1985,1,"2 43",1,"1 2 43"
"Agrostis scabra",48.5,1990,2,43,180.5,0.026188,"e026",1985,1,"2 43",1,"1 2 43"
"Agrostis scabra",20.5,1991,2,43,4.5,0.026188,"e026",1985,1,"2 43",1,"1 2 43"
"Agrostis scabra",55.5,1992,2,43,148.75,0.026188,"e026",1985,1,"2 43",1,"1 2 43"
"Agrostis scabra",26.5,1993,2,43,23.75,0.026188,"e026",1985,1,"2 43",1,"1 2 43"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",10.09324,1986,2,54,32.84382,0.022721,"e026",1985,1,"2 54",1,"1 2 54"
"Agrostis scabra",54.84848,1987,2,54,65.26807,0.022721,"e026",1985,1,"2 54",1,"1 2 54"
"Agrostis scabra",52,1988,2,54,50.75,0.022721,"e026",1985,1,"2 54",1,"1 2 54"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",42,1990,2,54,35.25,0.022721,"e026",1985,1,"2 54",1,"1 2 54"
"Agrostis scabra",51.25,1991,2,54,39.5,0.022721,"e026",1985,1,"2 54",1,"1 2 54"
"Agrostis scabra",11.363,1992,2,54,1018.41,0.022721,"e026",1985,1,"2 54",1,"1 2 54"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0.30303,1986,2,56,51.35198,0.02104,"e026",1985,1,"2 56",1,"1 2 56"
"Agrostis scabra",0,1987,2,56,179.41725,0.02104,"e026",1985,1,"2 56",1,"1 2 56"
"Agrostis scabra",85.7,1988,2,56,99.525,0.02104,"e026",1985,1,"2 56",1,"1 2 56"
"Agrostis scabra",36.5,1989,2,56,163.75,0.02104,"e026",1985,1,"2 56",1,"1 2 56"
"Agrostis scabra",9.225,1990,2,56,85.475,0.02104,"e026",1985,1,"2 56",1,"1 2 56"
"Agrostis scabra",43.25,1991,2,56,69.25,0.02104,"e026",1985,1,"2 56",1,"1 2 56"
"Agrostis scabra",0.75,1992,2,56,8.75,0.02104,"e026",1985,1,"2 56",1,"1 2 56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",2.00466,1986,2,8,88.04196,0.02209,"e026",1985,1,"2 8",1,"1 2 8"
"Agrostis scabra",0,1987,2,8,137.48251,0.02209,"e026",1985,1,"2 8",1,"1 2 8"
"Agrostis scabra",3,1988,2,8,32.55,0.02209,"e026",1985,1,"2 8",1,"1 2 8"
"Agrostis scabra",6.5,1989,2,8,122,0.02209,"e026",1985,1,"2 8",1,"1 2 8"
"Agrostis scabra",22.5,1990,2,8,146.75,0.02209,"e026",1985,1,"2 8",1,"1 2 8"
"Agrostis scabra",16.5,1991,2,8,57,0.02209,"e026",1985,1,"2 8",1,"1 2 8"
"Agrostis scabra",53,1992,2,8,12.5,0.02209,"e026",1985,1,"2 8",1,"1 2 8"
"Agrostis scabra",6.25,1993,2,8,43.25,0.02209,"e026",1985,1,"2 8",1,"1 2 8"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0.41958,1986,3,23,20.60606,0.007622,"e026",1985,1,"3 23",1,"1 3 23"
"Agrostis scabra",0,1987,3,23,27.10956,0.007622,"e026",1985,1,"3 23",1,"1 3 23"
"Agrostis scabra",1.275,1988,3,23,14.025,0.007622,"e026",1985,1,"3 23",1,"1 3 23"
"Agrostis scabra",1.75,1989,3,23,102,0.007622,"e026",1985,1,"3 23",1,"1 3 23"
"Agrostis scabra",18,1990,3,23,43.5,0.007622,"e026",1985,1,"3 23",1,"1 3 23"
"Agrostis scabra",3,1991,3,23,43.5,0.007622,"e026",1985,1,"3 23",1,"1 3 23"
"Agrostis scabra",6,1992,3,23,6.75,0.007622,"e026",1985,1,"3 23",1,"1 3 23"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",3.61305,1986,3,30,10.97902,0.007894,"e026",1985,1,"3 30",1,"1 3 30"
"Agrostis scabra",0,1987,3,30,21.07226,0.007894,"e026",1985,1,"3 30",1,"1 3 30"
"Agrostis scabra",1.2,1988,3,30,15.9,0.007894,"e026",1985,1,"3 30",1,"1 3 30"
"Agrostis scabra",15,1989,3,30,162.75,0.007894,"e026",1985,1,"3 30",1,"1 3 30"
"Agrostis scabra",6,1990,3,30,10,0.007894,"e026",1985,1,"3 30",1,"1 3 30"
"Agrostis scabra",24.75,1991,3,30,103.25,0.007894,"e026",1985,1,"3 30",1,"1 3 30"
"Agrostis scabra",19.5,1992,3,30,53.25,0.007894,"e026",1985,1,"3 30",1,"1 3 30"
"Agrostis scabra",12.75,1993,3,30,11,0.007894,"e026",1985,1,"3 30",1,"1 3 30"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0.20979,1986,3,31,0.16317,0.007602,"e026",1985,1,"3 31",1,"1 3 31"
"Agrostis scabra",0,1987,3,31,43.58974,0.007602,"e026",1985,1,"3 31",1,"1 3 31"
"Agrostis scabra",1.5,1988,3,31,51,0.007602,"e026",1985,1,"3 31",1,"1 3 31"
"Agrostis scabra",3.75,1989,3,31,94.75,0.007602,"e026",1985,1,"3 31",1,"1 3 31"
"Agrostis scabra",9.5,1990,3,31,11.75,0.007602,"e026",1985,1,"3 31",1,"1 3 31"
"Agrostis scabra",40.75,1991,3,31,16.5,0.007602,"e026",1985,1,"3 31",1,"1 3 31"
"Agrostis scabra",7.5,1992,3,31,46.25,0.007602,"e026",1985,1,"3 31",1,"1 3 31"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis scabra",0.25641,1986,3,32,22.61072,0.00807,"e026",1985,1,"3 32",1,"1 3 32"
"Agrostis scabra",0,1987,3,32,21.28205,0.00807,"e026",1985,1,"3 32",1,"1 3 32"
"Agrostis scabra",0,1988,3,32,67.25,0.00807,"e026",1985,1,"3 32",1,"1 3 32"
"Agrostis scabra",7,1989,3,32,73,0.00807,"e026",1985,1,"3 32",1,"1 3 32"
