Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"index","Exp","Year","Field","Plot","NTrt","NAdd","NitrAdd","NAtm.NAdd","fg","isspecies","richness","Agropyron repens","Schizachyrium scoparium","Miscellaneous litter","Ncat","FieldPlot"
"6 A 1994",1,1994,"A",6,8,27.2,80,28.2,"C3",1,3,156.27,0,644.97,3,"A 6"
"6 A 1995",1,1995,"A",6,8,27.2,80,28.2,"F",1,6,214.7,0,1344.3,3,"A 6"
"6 A 1996",1,1996,"A",6,8,27.2,80,28.2,"F",1,4,374.83,0,656.8,3,"A 6"
"6 A 1997",1,1997,"A",6,8,27.2,80,28.2,"F",1,3,15.033,0,606.07,3,"A 6"
"6 A 1998",1,1998,"A",6,8,27.2,80,28.2,"F",1,6,100.3,0.207,652,3,"A 6"
"6 A 1999",1,1999,"A",6,8,27.2,80,28.2,"F",1,4,509.93,0,1121.6,3,"A 6"
"6 A 2000",1,2000,"A",6,8,27.2,80,28.2,"F",1,5,232.9,0,1000.6,3,"A 6"
"6 A 2001",1,2001,"A",6,8,27.2,80,28.2,"F",1,6,157.23,0,363.9,3,"A 6"
"6 A 2002",1,2002,"A",6,8,27.2,80,28.2,"F",1,4,204.8,0,195.87,3,"A 6"
"6 A 2003",1,2003,"A",6,8,27.2,80,28.2,"F",1,4,190.4,0,474.77,3,"A 6"
"6 A 2004",1,2004,"A",6,8,27.2,80,28.2,"F",1,5,301.1,0,0,3,"A 6"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6 A 2008",1,2008,"A",6,8,27.2,80,28.2,"C3",1,1,197.42,0,0,3,"A 6"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7 A 1982",1,1982,"A",7,7,17,50,18,"S",1,12,83.233,0,324,3,"A 7"
"7 A 1983",1,1983,"A",7,7,17,50,18,"F",1,14,325.53,0,565.6,3,"A 7"
"7 A 1984",1,1984,"A",7,7,17,50,18,"F",1,8,368.97,0,248.27,3,"A 7"
"7 A 1985",1,1985,"A",7,7,17,50,18,"C3",1,2,290.9,0,388.2,3,"A 7"
"7 A 1986",1,1986,"A",7,7,17,50,18,"C3",1,2,147.13,0,1659.1,3,"A 7"
"7 A 1987",1,1987,"A",7,7,17,50,18,"C3",1,2,216.67,0,1494,3,"A 7"
"7 A 1988",1,1988,"A",7,7,17,50,18,"C3",1,1,10.033,0,772.1,3,"A 7"
"7 A 1989",1,1989,"A",7,7,17,50,18,"C3",1,2,396.03,0,444.47,3,"A 7"
"7 A 1990",1,1990,"A",7,7,17,50,18,"C3",1,2,88.01,0,539.07,3,"A 7"
"7 A 1991",1,1991,"A",7,7,17,50,18,"C3",1,2,220.33,0,484.57,3,"A 7"
"7 A 1992",1,1992,"A",7,7,17,50,18,"C3",1,2,253.47,0,834.4,3,"A 7"
"7 A 1993",1,1993,"A",7,7,17,50,18,"C3",1,2,59.667,0,832.77,3,"A 7"
"7 A 1994",1,1994,"A",7,7,17,50,18,"F",1,3,66.933,0,936,3,"A 7"
"7 A 1995",1,1995,"A",7,7,17,50,18,"C3",1,2,90.1,0,766.33,3,"A 7"
"7 A 1996",1,1996,"A",7,7,17,50,18,"C3",1,2,195.63,0,314.4,3,"A 7"
"7 A 1997",1,1997,"A",7,7,17,50,18,"C3",1,2,67.967,0,703.1,3,"A 7"
"7 A 1998",1,1998,"A",7,7,17,50,18,"C3",1,2,332.57,0,947.6,3,"A 7"
"7 A 1999",1,1999,"A",7,7,17,50,18,"F",1,3,232.1,0,1809.2,3,"A 7"
"7 A 2000",1,2000,"A",7,7,17,50,18,"F",1,3,149,0,484.43,3,"A 7"
"7 A 2001",1,2001,"A",7,7,17,50,18,"F",1,4,136.77,0,856.9,3,"A 7"
"7 A 2002",1,2002,"A",7,7,17,50,18,"C3",1,2,222.8,0,682.6,3,"A 7"
"7 A 2003",1,2003,"A",7,7,17,50,18,"F",1,4,69.967,0,432.73,3,"A 7"
"7 A 2004",1,2004,"A",7,7,17,50,18,"F",1,5,142.7,0,308.47,3,"A 7"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7 A 2008",1,2008,"A",7,7,17,50,18,"C3",1,4,97.38,0,36.63,3,"A 7"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11 A 1982",1,1982,"A",11,8,27.2,80,28.2,"F",1,11,52.333,0,347.33,3,"A 11"
"11 A 1983",1,1983,"A",11,8,27.2,80,28.2,"F",1,6,1137.2,0,784,3,"A 11"
"11 A 1984",1,1984,"A",11,8,27.2,80,28.2,"F",1,4,283.2,0,660.23,3,"A 11"
"11 A 1985",1,1985,"A",11,8,27.2,80,28.2,"C3",1,2,364.23,0,411.27,3,"A 11"
"11 A 1986",1,1986,"A",11,8,27.2,80,28.2,"F",1,3,153.6,0,1024.9,3,"A 11"
"11 A 1987",1,1987,"A",11,8,27.2,80,28.2,"O",1,2,199.33,0,811.8,3,"A 11"
"11 A 1988",1,1988,"A",11,8,27.2,80,28.2,"C3",1,1,10.333,0,691.07,3,"A 11"
"11 A 1989",1,1989,"A",11,8,27.2,80,28.2,"C3",1,1,244,0,532.2,3,"A 11"
"11 A 1990",1,1990,"A",11,8,27.2,80,28.2,"C3",1,3,70.473,0,704.73,3,"A 11"
"11 A 1991",1,1991,"A",11,8,27.2,80,28.2,"F",1,2,314.27,0,864.43,3,"A 11"
"11 A 1992",1,1992,"A",11,8,27.2,80,28.2,"F",1,2,224.67,0,668.5,3,"A 11"
"11 A 1993",1,1993,"A",11,8,27.2,80,28.2,"F",1,3,296,0,1183.3,3,"A 11"
"11 A 1994",1,1994,"A",11,8,27.2,80,28.2,"O",1,5,150.47,0,353.2,3,"A 11"
"11 A 1995",1,1995,"A",11,8,27.2,80,28.2,"O",1,3,286.3,0,726.3,3,"A 11"
"11 A 1996",1,1996,"A",11,8,27.2,80,28.2,"C3",1,2,241.43,0,969.8,3,"A 11"
"11 A 1997",1,1997,"A",11,8,27.2,80,28.2,"C3",1,2,4.833,0,742.93,3,"A 11"
"11 A 1998",1,1998,"A",11,8,27.2,80,28.2,"C3",1,2,332.37,0,777.2,3,"A 11"
"11 A 1999",1,1999,"A",11,8,27.2,80,28.2,"C3",1,2,205.77,0,1592.5,3,"A 11"
"11 A 2000",1,2000,"A",11,8,27.2,80,28.2,"C3",1,2,240.87,0,573.7,3,"A 11"
"11 A 2001",1,2001,"A",11,8,27.2,80,28.2,"C4",1,6,163,0.1,519.97,3,"A 11"
"11 A 2002",1,2002,"A",11,8,27.2,80,28.2,"C4",1,4,173.67,0,342.5,3,"A 11"
"11 A 2003",1,2003,"A",11,8,27.2,80,28.2,"C3",1,2,226.43,0,274.7,3,"A 11"
"11 A 2004",1,2004,"A",11,8,27.2,80,28.2,"C3",1,4,314.16,0,8.5267,3,"A 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11 A 2008",1,2008,"A",11,8,27.2,80,28.2,"C3",1,3,146.75,0,0,3,"A 11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17 A 1982",1,1982,"A",17,8,27.2,80,28.2,"S",1,13,69.367,0,326.67,3,"A 17"
"17 A 1983",1,1983,"A",17,8,27.2,80,28.2,"F",1,9,490.53,0,159.33,3,"A 17"
"17 A 1984",1,1984,"A",17,8,27.2,80,28.2,"F",1,6,265.57,0,587.33,3,"A 17"
"17 A 1985",1,1985,"A",17,8,27.2,80,28.2,"F",1,3,411.63,0,603.37,3,"A 17"
"17 A 1986",1,1986,"A",17,8,27.2,80,28.2,"C3",1,1,253.5,0,1135.3,3,"A 17"
"17 A 1987",1,1987,"A",17,8,27.2,80,28.2,"C3",1,1,290.83,0,1582.9,3,"A 17"
"17 A 1988",1,1988,"A",17,8,27.2,80,28.2,"C3",1,1,14.633,0,910.1,3,"A 17"
"17 A 1989",1,1989,"A",17,8,27.2,80,28.2,"C3",1,2,158.47,0,935.6,3,"A 17"
"17 A 1990",1,1990,"A",17,8,27.2,80,28.2,"F",1,2,172.37,0,378.57,3,"A 17"
"17 A 1991",1,1991,"A",17,8,27.2,80,28.2,"C3",1,1,360.97,0,1217.5,3,"A 17"
"17 A 1992",1,1992,"A",17,8,27.2,80,28.2,"",0,1,390.5,0,932.77,3,"A 17"
"17 A 1993",1,1993,"A",17,8,27.2,80,28.2,"C3",1,2,210.37,0,674.7,3,"A 17"
"17 A 1994",1,1994,"A",17,8,27.2,80,28.2,"C3",1,2,76.467,0,1227.2,3,"A 17"
"17 A 1995",1,1995,"A",17,8,27.2,80,28.2,"C3",1,2,197.43,0,889.27,3,"A 17"
"17 A 1996",1,1996,"A",17,8,27.2,80,28.2,"C3",1,3,329.03,0,974.37,3,"A 17"
"17 A 1997",1,1997,"A",17,8,27.2,80,28.2,"C3",1,1,23.1,0,534.3,3,"A 17"
"17 A 1998",1,1998,"A",17,8,27.2,80,28.2,"C3",1,2,186.83,0,1190.6,3,"A 17"
"17 A 1999",1,1999,"A",17,8,27.2,80,28.2,"C3",1,2,333.6,0,1372,3,"A 17"
"17 A 2000",1,2000,"A",17,8,27.2,80,28.2,"F",1,3,157.7,0,353.67,3,"A 17"
"17 A 2001",1,2001,"A",17,8,27.2,80,28.2,"F",1,4,166.33,0,367.8,3,"A 17"
"17 A 2002",1,2002,"A",17,8,27.2,80,28.2,"F",1,3,120.33,0,625.7,3,"A 17"
"17 A 2003",1,2003,"A",17,8,27.2,80,28.2,"C3",1,2,105.5,0,385.2,3,"A 17"
"17 A 2004",1,2004,"A",17,8,27.2,80,28.2,"",0,3,246.5,0,0.0233,3,"A 17"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17 A 2008",1,2008,"A",17,8,27.2,80,28.2,"C3",1,3,150.5,0,3.25,3,"A 17"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18 A 1982",1,1982,"A",18,8,27.2,80,28.2,"F",1,11,63.5,2.333,205.4,3,"A 18"
"18 A 1983",1,1983,"A",18,8,27.2,80,28.2,"C3",1,9,611.3,0,79.8,3,"A 18"
"18 A 1984",1,1984,"A",18,8,27.2,80,28.2,"F",1,2,362.27,0,587,3,"A 18"
"18 A 1985",1,1985,"A",18,8,27.2,80,28.2,"F",1,2,457.27,0,414.33,3,"A 18"
"18 A 1986",1,1986,"A",18,8,27.2,80,28.2,"C3",1,1,242.07,0,1177.6,3,"A 18"
"18 A 1987",1,1987,"A",18,8,27.2,80,28.2,"C3",1,1,184.9,0,1073.5,3,"A 18"
"18 A 1988",1,1988,"A",18,8,27.2,80,28.2,"C3",1,1,18.267,0,758.8,3,"A 18"
"18 A 1989",1,1989,"A",18,8,27.2,80,28.2,"C3",1,1,331.1,0,811.8,3,"A 18"
"18 A 1990",1,1990,"A",18,8,27.2,80,28.2,"F",1,2,117.77,0,333.03,3,"A 18"
"18 A 1991",1,1991,"A",18,8,27.2,80,28.2,"C4",1,2,428.07,0.001,1047.9,3,"A 18"
"18 A 1992",1,1992,"A",18,8,27.2,80,28.2,"F",1,3,111.9,0,365.73,3,"A 18"
"18 A 1993",1,1993,"A",18,8,27.2,80,28.2,"F",1,5,277.8,0,461.6,3,"A 18"
"18 A 1994",1,1994,"A",18,8,27.2,80,28.2,"F",1,3,171.63,0,722.8,3,"A 18"
"18 A 1995",1,1995,"A",18,8,27.2,80,28.2,"O",1,3,274.57,0,1056.6,3,"A 18"
"18 A 1996",1,1996,"A",18,8,27.2,80,28.2,"C4",1,3,288.8,0.287,631.37,3,"A 18"
"18 A 1997",1,1997,"A",18,8,27.2,80,28.2,"C3",1,1,4.367,0,844.1,3,"A 18"
"18 A 1998",1,1998,"A",18,8,27.2,80,28.2,"F",1,5,239.97,0,1160.7,3,"A 18"
"18 A 1999",1,1999,"A",18,8,27.2,80,28.2,"C3",1,3,635.5,0,1060.3,3,"A 18"
"18 A 2000",1,2000,"A",18,8,27.2,80,28.2,"C4",1,6,189.07,0,575.33,3,"A 18"
"18 A 2001",1,2001,"A",18,8,27.2,80,28.2,"F",1,6,213.75,0,460.93,3,"A 18"
"18 A 2002",1,2002,"A",18,8,27.2,80,28.2,"C4",1,7,191.97,0,934.1,3,"A 18"
"18 A 2003",1,2003,"A",18,8,27.2,80,28.2,"F",1,2,91.467,0,433.23,3,"A 18"
"18 A 2004",1,2004,"A",18,8,27.2,80,28.2,"F",1,7,193.1,0,0.2,3,"A 18"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18 A 2008",1,2008,"A",18,8,27.2,80,28.2,"C3",1,5,185.25,0,0.25,3,"A 18"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25 A 1982",1,1982,"A",25,7,17,50,18,"C4",1,12,121.5,0,127.93,3,"A 25"
"25 A 1983",1,1983,"A",25,7,17,50,18,"F",1,10,79.933,0,72.133,3,"A 25"
"25 A 1984",1,1984,"A",25,7,17,50,18,"C3",1,13,371.9,0,128.57,3,"A 25"
"25 A 1985",1,1985,"A",25,7,17,50,18,"F",1,5,310.4,0,179.67,3,"A 25"
"25 A 1986",1,1986,"A",25,7,17,50,18,"F",1,2,211.9,0,798.03,3,"A 25"
"25 A 1987",1,1987,"A",25,7,17,50,18,"F",1,3,163.07,0,766.73,3,"A 25"
"25 A 1988",1,1988,"A",25,7,17,50,18,"O",1,2,9.3,0,566.17,3,"A 25"
"25 A 1989",1,1989,"A",25,7,17,50,18,"C3",1,2,316.47,0,739.3,3,"A 25"
"25 A 1990",1,1990,"A",25,7,17,50,18,"F",1,2,154.8,0,336.9,3,"A 25"
"25 A 1991",1,1991,"A",25,7,17,50,18,"C3",1,2,297.9,0,602.33,3,"A 25"
"25 A 1992",1,1992,"A",25,7,17,50,18,"C3",1,1,190.17,0,737,3,"A 25"
"25 A 1993",1,1993,"A",25,7,17,50,18,"C3",1,2,196.7,0,576.5,3,"A 25"
"25 A 1994",1,1994,"A",25,7,17,50,18,"F",1,3,59,0,538.73,3,"A 25"
"25 A 1995",1,1995,"A",25,7,17,50,18,"O",1,3,318.27,0,688.93,3,"A 25"
"25 A 1996",1,1996,"A",25,7,17,50,18,"C3",1,2,254.17,0,652.77,3,"A 25"
"25 A 1997",1,1997,"A",25,7,17,50,18,"F",1,3,70.833,0,1158.1,3,"A 25"
"25 A 1998",1,1998,"A",25,7,17,50,18,"F",1,3,182.97,0,1172.7,3,"A 25"
"25 A 1999",1,1999,"A",25,7,17,50,18,"F",1,4,375.9,0,878.6,3,"A 25"
"25 A 2000",1,2000,"A",25,7,17,50,18,"C3",1,2,233.2,0,1032,3,"A 25"
"25 A 2001",1,2001,"A",25,7,17,50,18,"C3",1,5,232.82,0,686.9,3,"A 25"
"25 A 2002",1,2002,"A",25,7,17,50,18,"C3",1,4,158.1,0,1310.8,3,"A 25"
"25 A 2003",1,2003,"A",25,7,17,50,18,"C3",1,5,114.67,0,294.97,3,"A 25"
"25 A 2004",1,2004,"A",25,7,17,50,18,"C4",1,6,166.16,0,136.36,3,"A 25"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25 A 2008",1,2008,"A",25,7,17,50,18,"C3",1,5,127.63,0,16.52,3,"A 25"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34 A 1982",1,1982,"A",34,7,17,50,18,"C4",1,12,45.3,0,177.37,3,"A 34"
"34 A 1983",1,1983,"A",34,7,17,50,18,"F",1,12,385.33,0,183.27,3,"A 34"
"34 A 1984",1,1984,"A",34,7,17,50,18,"F",1,8,272.97,0,450.4,3,"A 34"
"34 A 1985",1,1985,"A",34,7,17,50,18,"C3",1,1,278.23,0,299.33,3,"A 34"
"34 A 1986",1,1986,"A",34,7,17,50,18,"F",1,5,197.83,0,963.2,3,"A 34"
"34 A 1987",1,1987,"A",34,7,17,50,18,"F",1,3,136.73,0,675.6,3,"A 34"
"34 A 1988",1,1988,"A",34,7,17,50,18,"C3",1,1,28.333,0,726.13,3,"A 34"
"34 A 1989",1,1989,"A",34,7,17,50,18,"C3",1,2,290.4,0,669.87,3,"A 34"
"34 A 1990",1,1990,"A",34,7,17,50,18,"C3",1,2,136.33,0,634.53,3,"A 34"
"34 A 1991",1,1991,"A",34,7,17,50,18,"C4",1,2,293.43,0,448.5,3,"A 34"
"34 A 1992",1,1992,"A",34,7,17,50,18,"F",1,4,143.63,0,329.7,3,"A 34"
"34 A 1993",1,1993,"A",34,7,17,50,18,"F",1,7,267.7,0,405.83,3,"A 34"
"34 A 1994",1,1994,"A",34,7,17,50,18,"O",1,7,99.033,0,473.07,3,"A 34"
"34 A 1995",1,1995,"A",34,7,17,50,18,"C4",1,4,273.23,0,579.37,3,"A 34"
"34 A 1996",1,1996,"A",34,7,17,50,18,"F",1,4,213.63,0,531.7,3,"A 34"
"34 A 1997",1,1997,"A",34,7,17,50,18,"F",1,4,117.4,0,865.1,3,"A 34"
"34 A 1998",1,1998,"A",34,7,17,50,18,"F",1,6,214.63,0,516.63,3,"A 34"
"34 A 1999",1,1999,"A",34,7,17,50,18,"F",1,6,181.83,0,2583.9,3,"A 34"
"34 A 2000",1,2000,"A",34,7,17,50,18,"F",1,3,183.7,0,512.97,3,"A 34"
"34 A 2001",1,2001,"A",34,7,17,50,18,"F",1,6,214.43,0,513.3,3,"A 34"
"34 A 2002",1,2002,"A",34,7,17,50,18,"F",1,5,172.13,0,1218.7,3,"A 34"
"34 A 2003",1,2003,"A",34,7,17,50,18,"F",1,5,75.533,0,559.1,3,"A 34"
"34 A 2004",1,2004,"A",34,7,17,50,18,"F",1,7,284.37,0,155.53,3,"A 34"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34 A 2008",1,2008,"A",34,7,17,50,18,"C3",1,3,186.97,0,0.47,3,"A 34"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36 A 1982",1,1982,"A",36,7,17,50,18,"F",1,8,93.133,0,202.27,3,"A 36"
"36 A 1983",1,1983,"A",36,7,17,50,18,"C4",1,17,154.13,0,101.33,3,"A 36"
"36 A 1984",1,1984,"A",36,7,17,50,18,"S",1,19,337.73,0,412.03,3,"A 36"
"36 A 1985",1,1985,"A",36,7,17,50,18,"F",1,2,301.87,0,320,3,"A 36"
"36 A 1986",1,1986,"A",36,7,17,50,18,"",0,1,277.53,0,1387,3,"A 36"
"36 A 1987",1,1987,"A",36,7,17,50,18,"C3",1,1,268.47,0,832.83,3,"A 36"
"36 A 1988",1,1988,"A",36,7,17,50,18,"C3",1,1,11.7,0,616.7,3,"A 36"
"36 A 1989",1,1989,"A",36,7,17,50,18,"C3",1,2,293.13,0,443.63,3,"A 36"
"36 A 1990",1,1990,"A",36,7,17,50,18,"C3",1,1,122.87,0,875.73,3,"A 36"
"36 A 1991",1,1991,"A",36,7,17,50,18,"C3",1,1,364.83,0,464.53,3,"A 36"
"36 A 1992",1,1992,"A",36,7,17,50,18,"F",1,6,242.7,0,881.47,3,"A 36"
"36 A 1993",1,1993,"A",36,7,17,50,18,"F",1,4,211.5,0,581.73,3,"A 36"
"36 A 1994",1,1994,"A",36,7,17,50,18,"C3",1,2,142.8,0,495.8,3,"A 36"
"36 A 1995",1,1995,"A",36,7,17,50,18,"F",1,4,287.8,0,1515.1,3,"A 36"
"36 A 1996",1,1996,"A",36,7,17,50,18,"C3",1,2,297.27,0,1147.5,3,"A 36"
"36 A 1997",1,1997,"A",36,7,17,50,18,"C3",1,3,61.267,0,682.13,3,"A 36"
"36 A 1998",1,1998,"A",36,7,17,50,18,"C3",1,2,259.1,0,870.4,3,"A 36"
"36 A 1999",1,1999,"A",36,7,17,50,18,"C4",1,3,406.5,0,2163.7,3,"A 36"
"36 A 2000",1,2000,"A",36,7,17,50,18,"F",1,3,207.97,0,658.33,3,"A 36"
"36 A 2001",1,2001,"A",36,7,17,50,18,"C3",1,3,253.07,0,636,3,"A 36"
"36 A 2002",1,2002,"A",36,7,17,50,18,"C4",1,3,316,0,900.2,3,"A 36"
"36 A 2003",1,2003,"A",36,7,17,50,18,"F",1,2,159.77,0,562.33,3,"A 36"
"36 A 2004",1,2004,"A",36,7,17,50,18,"F",1,4,127.3,0,0,3,"A 36"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36 A 2008",1,2008,"A",36,7,17,50,18,"C3",1,4,339.75,0,5.18,3,"A 36"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40 A 1982",1,1982,"A",40,8,27.2,80,28.2,"F",1,14,139.6,0,207.2,3,"A 40"
"40 A 1983",1,1983,"A",40,8,27.2,80,28.2,"F",1,12,327.4,0,89.567,3,"A 40"
"40 A 1984",1,1984,"A",40,8,27.2,80,28.2,"C3",1,6,427.77,0,592.9,3,"A 40"
"40 A 1985",1,1985,"A",40,8,27.2,80,28.2,"C3",1,3,229.33,0,167.6,3,"A 40"
"40 A 1986",1,1986,"A",40,8,27.2,80,28.2,"C3",1,2,231.8,0,1178.8,3,"A 40"
"40 A 1987",1,1987,"A",40,8,27.2,80,28.2,"C3",1,1,217.57,0,1019.9,3,"A 40"
"40 A 1988",1,1988,"A",40,8,27.2,80,28.2,"C3",1,1,16.767,0,925.87,3,"A 40"
"40 A 1989",1,1989,"A",40,8,27.2,80,28.2,"C3",1,1,385.5,0,667,3,"A 40"
"40 A 1990",1,1990,"A",40,8,27.2,80,28.2,"C3",1,1,108.2,0,516.3,3,"A 40"
"40 A 1991",1,1991,"A",40,8,27.2,80,28.2,"C4",1,4,359.1,0,782.9,3,"A 40"
"40 A 1992",1,1992,"A",40,8,27.2,80,28.2,"F",1,3,274.03,0,646.73,3,"A 40"
"40 A 1993",1,1993,"A",40,8,27.2,80,28.2,"F",1,6,267.8,0,378.83,3,"A 40"
"40 A 1994",1,1994,"A",40,8,27.2,80,28.2,"F",1,3,101.57,0,330.37,3,"A 40"
"40 A 1995",1,1995,"A",40,8,27.2,80,28.2,"O",1,5,322.73,0,1735.7,3,"A 40"
"40 A 1996",1,1996,"A",40,8,27.2,80,28.2,"F",1,3,184.1,0,940.33,3,"A 40"
"40 A 1997",1,1997,"A",40,8,27.2,80,28.2,"F",1,4,111.73,0,863.93,3,"A 40"
"40 A 1998",1,1998,"A",40,8,27.2,80,28.2,"L",1,5,294.2,0,1006.8,3,"A 40"
"40 A 1999",1,1999,"A",40,8,27.2,80,28.2,"F",1,2,207.08,0,628.67,3,"A 40"
"40 A 2000",1,2000,"A",40,8,27.2,80,28.2,"C4",1,5,301.6,0,245.07,3,"A 40"
"40 A 2001",1,2001,"A",40,8,27.2,80,28.2,"C3",1,4,332.38,0,487.47,3,"A 40"
"40 A 2002",1,2002,"A",40,8,27.2,80,28.2,"C3",1,3,329.7,0,729.5,3,"A 40"
"40 A 2003",1,2003,"A",40,8,27.2,80,28.2,"F",1,2,94.367,0,1057,3,"A 40"
"40 A 2004",1,2004,"A",40,8,27.2,80,28.2,"F",1,4,501.07,0,0.2333,3,"A 40"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40 A 2008",1,2008,"A",40,8,27.2,80,28.2,"C3",1,2,203.03,0,0,3,"A 40"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44 A 1982",1,1982,"A",44,7,17,50,18,"F",1,14,20.233,0,44.6,3,"A 44"
"44 A 1983",1,1983,"A",44,7,17,50,18,"C3",1,12,29.033,0,61.8,3,"A 44"
