Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"index","Exp","Year","OldField","Plot","Transect","YearAb","Agropyron repens","Schizachyrium scoparium","Miscellaneous litter","precipmm","FieldPlot"
"1995 24 3 W",54,1995,"24",3,"W",1968,9.867,0,363.8,440.436,"24 3"
"1996 24 3 W",54,1996,"24",3,"W",1968,17,19.067,229.267,325.628,"24 3"
"1997 24 3 W",54,1997,"24",3,"W",1968,7.733,7.6,334.567,408.178,"24 3"
"1998 24 3 W",54,1998,"24",3,"W",1968,14.2,72.533,428.1,263.144,"24 3"
"1999 24 3 W",54,1999,"24",3,"W",1968,6.9,61.833,347.7,369.062,"24 3"
"2000 24 3 W",54,2000,"24",3,"W",1968,10.1,143.633,492.633,255.016,"24 3"
"2001 24 3 W",54,2001,"24",3,"W",1968,17.133,92.233,581.033,248.92,"24 3"
"2002 24 3 W",54,2002,"24",3,"W",1968,17.4,45.333,287.333,439.42,"24 3"
"2003 24 3 W",54,2003,"24",3,"W",1968,26.5333,74.3333,279.6,229.616,"24 3"
"2004 24 3 W",54,2004,"24",3,"W",1968,33.4333,35.2667,348.6,239.014,"24 3"
"2005 24 3 W",54,2005,"24",3,"W",1968,45.233,75.333,385.667,285.242,"24 3"
"2006 24 3 W",54,2006,"24",3,"W",1968,17.41,30.793,156.567,251.46,"24 3"
"2007 24 3 W",54,2007,"24",3,"W",1968,18.93,26.07,202.8,236.22,"24 3"
"2008 24 3 W",54,2008,"24",3,"W",1968,16.03,0.62,9.82,188.722,"24 3"
"2009 24 3 W",54,2009,"24",3,"W",1968,0,1,6,322.326,"24 3"
"2010 24 3 W",54,2010,"24",3,"W",1968,32.2,27.73,64.87,367.792,"24 3"
"2011 24 3 W",54,2011,"24",3,"W",1968,22.77,4.33,56.6,440.69,"24 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988 24 4 Y",54,1988,"24",4,"Y",1968,0,0.9,208.7,210.312,"24 4"
"1989 24 4 Y",54,1989,"24",4,"Y",1968,0,0.1,135.033,256.54,"24 4"
"1990 24 4 Y",54,1990,"24",4,"Y",1968,0,0,0,585.47,"24 4"
"1991 24 4 Y",54,1991,"24",4,"Y",1968,0.533,32.067,251.733,359.156,"24 4"
"1992 24 4 Y",54,1992,"24",4,"Y",1968,0,12.267,274.2,297.434,"24 4"
"1993 24 4 Y",54,1993,"24",4,"Y",1968,0.367,10.2,245.1,531.876,"24 4"
"1994 24 4 Y",54,1994,"24",4,"Y",1968,0,59.3,295.897,314.96,"24 4"
"1995 24 4 Y",54,1995,"24",4,"Y",1968,0,101.867,352.433,440.436,"24 4"
"1996 24 4 Y",54,1996,"24",4,"Y",1968,0,80.233,230.2,325.628,"24 4"
"1997 24 4 Y",54,1997,"24",4,"Y",1968,4.733,84.167,343.8,408.178,"24 4"
"1998 24 4 Y",54,1998,"24",4,"Y",1968,0,92.933,564.6,263.144,"24 4"
"1999 24 4 Y",54,1999,"24",4,"Y",1968,0.4,71.433,320.6,369.062,"24 4"
"2000 24 4 Y",54,2000,"24",4,"Y",1968,0,48.167,427.733,255.016,"24 4"
"2001 24 4 Y",54,2001,"24",4,"Y",1968,0.3,54.367,664.2,248.92,"24 4"
"2002 24 4 Y",54,2002,"24",4,"Y",1968,0,15.8,546.233,439.42,"24 4"
"2003 24 4 Y",54,2003,"24",4,"Y",1968,0,21.6667,436.067,229.616,"24 4"
"2004 24 4 Y",54,2004,"24",4,"Y",1968,1.63333,9.56667,396.967,239.014,"24 4"
"2005 24 4 Y",54,2005,"24",4,"Y",1968,10.833,0.403,173.033,285.242,"24 4"
"2006 24 4 Y",54,2006,"24",4,"Y",1968,0,6.683,385.18,251.46,"24 4"
"2007 24 4 Y",54,2007,"24",4,"Y",1968,0,2.37,1368.9,236.22,"24 4"
"2008 24 4 Y",54,2008,"24",4,"Y",1968,0,2.7,297.35,188.722,"24 4"
"2009 24 4 Y",54,2009,"24",4,"Y",1968,2.07,2.43,35.57,322.326,"24 4"
"2010 24 4 Y",54,2010,"24",4,"Y",1968,0.23,0.37,2.27,367.792,"24 4"
"2011 24 4 Y",54,2011,"24",4,"Y",1968,0.37,0.97,827.6,440.69,"24 4"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988 26 1 G",54,1988,"26",1,"G",1957,4.067,93.4,1047.73,210.312,"26 1"
"1989 26 1 G",54,1989,"26",1,"G",1957,4.673,85.1,350.633,256.54,"26 1"
"1990 26 1 G",54,1990,"26",1,"G",1957,6.87,52.527,630.7,585.47,"26 1"
"1991 26 1 G",54,1991,"26",1,"G",1957,40.257,120.28,617.933,359.156,"26 1"
"1992 26 1 G",54,1992,"26",1,"G",1957,6.767,60.133,501.167,297.434,"26 1"
"1993 26 1 G",54,1993,"26",1,"G",1957,20.633,95.867,485.267,531.876,"26 1"
"1994 26 1 G",54,1994,"26",1,"G",1957,8.6,47.9,445.567,314.96,"26 1"
"1995 26 1 G",54,1995,"26",1,"G",1957,21.733,103.6,388.1,440.436,"26 1"
"1996 26 1 G",54,1996,"26",1,"G",1957,19.4,73.7,452.5,325.628,"26 1"
"1997 26 1 G",54,1997,"26",1,"G",1957,2.267,67.6,375.8,408.178,"26 1"
"1998 26 1 G",54,1998,"26",1,"G",1957,2.967,72.933,469.133,263.144,"26 1"
"1999 26 1 G",54,1999,"26",1,"G",1957,3.633,91.633,246.6,369.062,"26 1"
"2000 26 1 G",54,2000,"26",1,"G",1957,2,54.233,375.567,255.016,"26 1"
"2001 26 1 G",54,2001,"26",1,"G",1957,7.467,23.667,264.767,248.92,"26 1"
"2002 26 1 G",54,2002,"26",1,"G",1957,22.5,46.433,233.6,439.42,"26 1"
"2003 26 1 G",54,2003,"26",1,"G",1957,12.5,33.8667,279.633,229.616,"26 1"
"2004 26 1 G",54,2004,"26",1,"G",1957,9.21,16.08,109.387,239.014,"26 1"
"2005 26 1 G",54,2005,"26",1,"G",1957,9.9,75,184.333,285.242,"26 1"
"2006 26 1 G",54,2006,"26",1,"G",1957,6.833,36.233,165.333,251.46,"26 1"
"2007 26 1 G",54,2007,"26",1,"G",1957,9.57,73.93,284.67,236.22,"26 1"
"2008 26 1 G",54,2008,"26",1,"G",1957,18.17,13.15,66.92,188.722,"26 1"
"2009 26 1 G",54,2009,"26",1,"G",1957,0,0,10.4,322.326,"26 1"
"2010 26 1 G",54,2010,"26",1,"G",1957,20.53,57.7,166.63,367.792,"26 1"
"2011 26 1 G",54,2011,"26",1,"G",1957,19.43,62.07,207.37,440.69,"26 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988 26 2 R",54,1988,"26",2,"R",1957,1.933,79.767,719.1,210.312,"26 2"
"1989 26 2 R",54,1989,"26",2,"R",1957,14.01,163.167,342.3,256.54,"26 2"
"1990 26 2 R",54,1990,"26",2,"R",1957,19.767,84.267,438.167,585.47,"26 2"
"1991 26 2 R",54,1991,"26",2,"R",1957,15.463,104.9,501.967,359.156,"26 2"
"1992 26 2 R",54,1992,"26",2,"R",1957,11.5,19.5,521.133,297.434,"26 2"
"1993 26 2 R",54,1993,"26",2,"R",1957,25.1,57.133,611.233,531.876,"26 2"
"1994 26 2 R",54,1994,"26",2,"R",1957,13.683,47.12,483.267,314.96,"26 2"
"1995 26 2 R",54,1995,"26",2,"R",1957,37.733,40.533,372.467,440.436,"26 2"
"1996 26 2 R",54,1996,"26",2,"R",1957,21.767,14.3,318.8,325.628,"26 2"
"1997 26 2 R",54,1997,"26",2,"R",1957,19.2,8.1,436.433,408.178,"26 2"
"1998 26 2 R",54,1998,"26",2,"R",1957,68.567,48,476.2,263.144,"26 2"
"1999 26 2 R",54,1999,"26",2,"R",1957,50.167,31.533,340.067,369.062,"26 2"
"2000 26 2 R",54,2000,"26",2,"R",1957,40.6,31.067,279.067,255.016,"26 2"
"2001 26 2 R",54,2001,"26",2,"R",1957,42.1,14.133,350,248.92,"26 2"
"2002 26 2 R",54,2002,"26",2,"R",1957,90.067,5.467,301.733,439.42,"26 2"
"2003 26 2 R",54,2003,"26",2,"R",1957,85.7667,6.6,236.933,229.616,"26 2"
"2004 26 2 R",54,2004,"26",2,"R",1957,26.2,2.06667,94.8,239.014,"26 2"
"2005 26 2 R",54,2005,"26",2,"R",1957,44.333,1.333,213.267,285.242,"26 2"
"2006 26 2 R",54,2006,"26",2,"R",1957,6.4,0,503.367,251.46,"26 2"
"2007 26 2 R",54,2007,"26",2,"R",1957,4,0,615.07,236.22,"26 2"
"2008 26 2 R",54,2008,"26",2,"R",1957,22.5,0,39,188.722,"26 2"
"2009 26 2 R",54,2009,"26",2,"R",1957,33.23,0.2,17.13,322.326,"26 2"
"2010 26 2 R",54,2010,"26",2,"R",1957,1.5,0.47,3.17,367.792,"26 2"
"2011 26 2 R",54,2011,"26",2,"R",1957,1.6,0,0,440.69,"26 2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988 26 3 W",54,1988,"26",3,"W",1957,0.033,37.367,277.033,210.312,"26 3"
"1989 26 3 W",54,1989,"26",3,"W",1957,3.34,85,176.467,256.54,"26 3"
"1990 26 3 W",54,1990,"26",3,"W",1957,9.233,68.533,370.067,585.47,"26 3"
"1991 26 3 W",54,1991,"26",3,"W",1957,7.843,66.533,593.9,359.156,"26 3"
"1992 26 3 W",54,1992,"26",3,"W",1957,4.667,16,336.9,297.434,"26 3"
"1993 26 3 W",54,1993,"26",3,"W",1957,2.3,71.633,465.433,531.876,"26 3"
"1994 26 3 W",54,1994,"26",3,"W",1957,2.063,42.567,403.1,314.96,"26 3"
"1995 26 3 W",54,1995,"26",3,"W",1957,2.267,73.9,310.233,440.436,"26 3"
"1996 26 3 W",54,1996,"26",3,"W",1957,1.133,52.867,293,325.628,"26 3"
"1997 26 3 W",54,1997,"26",3,"W",1957,1.633,67.633,465.467,408.178,"26 3"
"1998 26 3 W",54,1998,"26",3,"W",1957,0,115.233,700.233,263.144,"26 3"
"1999 26 3 W",54,1999,"26",3,"W",1957,0,58.7,544.133,369.062,"26 3"
"2000 26 3 W",54,2000,"26",3,"W",1957,1.933,46.367,358.933,255.016,"26 3"
"2001 26 3 W",54,2001,"26",3,"W",1957,0.2,31.5,436.667,248.92,"26 3"
"2002 26 3 W",54,2002,"26",3,"W",1957,1.02,25.2,342.933,439.42,"26 3"
"2003 26 3 W",54,2003,"26",3,"W",1957,3.6667,16.5,274.533,229.616,"26 3"
"2004 26 3 W",54,2004,"26",3,"W",1957,1.96667,21.4667,392.133,239.014,"26 3"
"2005 26 3 W",54,2005,"26",3,"W",1957,9.7,7.933,344.6,285.242,"26 3"
"2006 26 3 W",54,2006,"26",3,"W",1957,0.433,13.867,501.567,251.46,"26 3"
"2007 26 3 W",54,2007,"26",3,"W",1957,3.03,14.07,373.73,236.22,"26 3"
"2008 26 3 W",54,2008,"26",3,"W",1957,0.65,8.15,291.9,188.722,"26 3"
"2009 26 3 W",54,2009,"26",3,"W",1957,3.33,0,8.67,322.326,"26 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011 26 3 W",54,2011,"26",3,"W",1957,0,0.9,23.4,440.69,"26 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988 26 4 Y",54,1988,"26",4,"Y",1957,0.167,75.1,671.167,210.312,"26 4"
"1989 26 4 Y",54,1989,"26",4,"Y",1957,1.193,104.767,260.5,256.54,"26 4"
"1990 26 4 Y",54,1990,"26",4,"Y",1957,4.837,99.593,327.967,585.47,"26 4"
"1991 26 4 Y",54,1991,"26",4,"Y",1957,2,64.967,359.7,359.156,"26 4"
"1992 26 4 Y",54,1992,"26",4,"Y",1957,0.467,56.3,444.5,297.434,"26 4"
"1993 26 4 Y",54,1993,"26",4,"Y",1957,0,70.367,814.9,531.876,"26 4"
"1994 26 4 Y",54,1994,"26",4,"Y",1957,1.3,58.367,511.733,314.96,"26 4"
"1995 26 4 Y",54,1995,"26",4,"Y",1957,4.7,98.867,135.667,440.436,"26 4"
"1996 26 4 Y",54,1996,"26",4,"Y",1957,2.667,32.833,668.033,325.628,"26 4"
"1997 26 4 Y",54,1997,"26",4,"Y",1957,7.2,18.633,500.633,408.178,"26 4"
"1998 26 4 Y",54,1998,"26",4,"Y",1957,4.7,28.9,750.6,263.144,"26 4"
"1999 26 4 Y",54,1999,"26",4,"Y",1957,1.493,10.867,976.967,369.062,"26 4"
"2000 26 4 Y",54,2000,"26",4,"Y",1957,13.7,0.4,1001.17,255.016,"26 4"
"2001 26 4 Y",54,2001,"26",4,"Y",1957,13.467,0,520,248.92,"26 4"
"2002 26 4 Y",54,2002,"26",4,"Y",1957,15.267,1.897,1063.37,439.42,"26 4"
"2003 26 4 Y",54,2003,"26",4,"Y",1957,10.8,0.3333,936.9,229.616,"26 4"
"2004 26 4 Y",54,2004,"26",4,"Y",1957,10.6,0,647.133,239.014,"26 4"
"2005 26 4 Y",54,2005,"26",4,"Y",1957,2.433,0,1543.3,285.242,"26 4"
"2006 26 4 Y",54,2006,"26",4,"Y",1957,11.067,4.433,333.1,251.46,"26 4"
"2007 26 4 Y",54,2007,"26",4,"Y",1957,9.1,23.27,387.57,236.22,"26 4"
"2008 26 4 Y",54,2008,"26",4,"Y",1957,3.4,3.98,35.57,188.722,"26 4"
"2009 26 4 Y",54,2009,"26",4,"Y",1957,5.57,0,70,322.326,"26 4"
"2010 26 4 y",54,2010,"26",4,"y",1957,0,0,0,367.792,"26 4"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010 26 4 Y",54,2010,"26",4,"Y",1957,0.03,0.4,16.4,367.792,"26 4"
"2011 26 4 Y",54,2011,"26",4,"Y",1957,0.17,0,0.03,440.69,"26 4"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992 28 1 Y",54,1992,"28",1,"Y",1989,156.667,0,38.843,297.434,"28 1"
"1993 28 1 Y",54,1993,"28",1,"Y",1989,91.167,0,56.7,531.876,"28 1"
"1994 28 1 Y",54,1994,"28",1,"Y",1989,123.473,0.757,133.067,314.96,"28 1"
"1995 28 1 Y",54,1995,"28",1,"Y",1989,136.767,0,205.533,440.436,"28 1"
"1996 28 1 Y",54,1996,"28",1,"Y",1989,88.533,0.017,187.333,325.628,"28 1"
"1997 28 1 Y",54,1997,"28",1,"Y",1989,63.933,0,130.633,408.178,"28 1"
"1998 28 1 Y",54,1998,"28",1,"Y",1989,65.9,0,64.4,263.144,"28 1"
"1999 28 1 Y",54,1999,"28",1,"Y",1989,93.833,0.767,139.3,369.062,"28 1"
"2000 28 1 Y",54,2000,"28",1,"Y",1989,28.1,0,106.367,255.016,"28 1"
"2001 28 1 Y",54,2001,"28",1,"Y",1989,62.133,0,89.533,248.92,"28 1"
"2002 28 1 Y",54,2002,"28",1,"Y",1989,50.333,0,82.867,439.42,"28 1"
"2003 28 1 Y",54,2003,"28",1,"Y",1989,30,0,276.067,229.616,"28 1"
"2004 28 1 Y",54,2004,"28",1,"Y",1989,7.16667,0,195.3,239.014,"28 1"
"2005 28 1 Y",54,2005,"28",1,"Y",1989,17.5,0,41.633,285.242,"28 1"
"2006 28 1 Y",54,2006,"28",1,"Y",1989,53.943,0,66.793,251.46,"28 1"
"2007 28 1 Y",54,2007,"28",1,"Y",1989,61.4,0,67.6,236.22,"28 1"
"2008 28 1 Y",54,2008,"28",1,"Y",1989,3.78,0,18.8,188.722,"28 1"
"2009 28 1 Y",54,2009,"28",1,"Y",1989,0,0,1.07,322.326,"28 1"
"2010 28 1 Y",54,2010,"28",1,"Y",1989,2.1,0,56.8,367.792,"28 1"
