Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
Reich, Peter
Knope, Johannes
Wedin, David
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"Exp","Year","Month","Plot","NumSp","SpNum","AbvBioAnnProd","noh020tot","insectcount","insectsp","Field","FieldPlot"
120,1999,8,14,2,2,165.833,0.3863,64,34,1,"1 14"
120,2000,8,14,2,2,137.45,NA,79,30,1,"1 14"
120,2001,8,14,2,2,127.071,0.1258,NA,NA,1,"1 14"
120,2002,8,14,2,2,179.936,0.1266,NA,NA,1,"1 14"
120,2003,8,14,2,2,199.017,NA,13,9,1,"1 14"
120,2004,8,14,2,2,135.879,NA,30,8,1,"1 14"
120,2005,8,14,2,2,92.514,NA,55,8,1,"1 14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,15,8,10,72.542,0.1706,109,39,1,"1 15"
120,1997,8,15,8,10,166.884,0.1678,339,105,1,"1 15"
120,1998,8,15,8,10,426.717,0.0835,201,60,1,"1 15"
120,1999,8,15,8,10,289.05,0.3446,299,82,1,"1 15"
120,2000,8,15,8,10,317.404,0.097,162,50,1,"1 15"
120,2001,8,15,8,10,180.692,0.1546,NA,NA,1,"1 15"
120,2002,8,15,8,10,273.38,0.0463,NA,NA,1,"1 15"
120,2003,8,15,8,10,260.361,NA,NA,1,1,"1 15"
120,2004,8,15,8,10,235.724,NA,72,18,1,"1 15"
120,2005,8,15,8,10,170.583,NA,106,17,1,"1 15"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,16,1,1,29.25,0.4014,97,19,1,"1 16"
120,1997,8,16,1,1,91.9333,0.3286,187,61,1,"1 16"
120,1998,8,16,1,1,46.1667,0.2719,67,25,1,"1 16"
120,1999,8,16,1,1,31.6167,0.6225,155,35,1,"1 16"
120,2000,8,16,1,1,47.6916,0.0961,185,37,1,"1 16"
120,2001,8,16,1,1,61.6495,0.1729,NA,NA,1,"1 16"
120,2002,8,16,1,1,89.3005,0.15,NA,NA,1,"1 16"
120,2003,8,16,1,1,62.6395,NA,85,22,1,"1 16"
120,2004,8,16,1,1,64.7055,NA,54,18,1,"1 16"
120,2005,8,16,1,1,30.058,NA,NA,1,1,"1 16"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,20,1,1,NA,NA,NA,1,1,"1 20"
120,1997,8,20,1,1,52.125,NA,NA,3,1,"1 20"
120,1998,8,20,1,1,37.925,0.1906,NA,31,1,"1 20"
120,1999,8,20,1,1,182.083,0.3795,NA,2,1,"1 20"
120,2000,8,20,1,1,73.7499,0.0838,83,33,1,"1 20"
120,2001,8,20,1,1,99.4125,0.0855,NA,NA,1,"1 20"
120,2002,8,20,1,1,232.044,0.0666,NA,NA,1,"1 20"
120,2003,8,20,1,1,310.277,NA,19,14,1,"1 20"
120,2004,8,20,1,1,166.257,NA,26,15,1,"1 20"
120,2005,8,20,1,1,96.91,NA,90,22,1,"1 20"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,22,8,10,100.217,0.2901,158,27,1,"1 22"
120,1997,8,22,8,10,112.492,0.1873,235,83,1,"1 22"
120,1998,8,22,8,10,182.225,0.0734,198,61,1,"1 22"
120,1999,8,22,8,10,225.215,0.3237,216,53,1,"1 22"
120,2000,8,22,8,10,143.95,0.1835,154,54,1,"1 22"
120,2001,8,22,8,10,237.017,0.14105,NA,NA,1,"1 22"
120,2002,8,22,8,10,218.828,0.1191,NA,NA,1,"1 22"
120,2003,8,22,8,10,138.408,NA,43,27,1,"1 22"
120,2004,8,22,8,10,194.636,NA,32,9,1,"1 22"
120,2005,8,22,8,10,182.548,NA,97,25,1,"1 22"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,24,4,4,67.425,0.0654,90,32,1,"1 24"
120,1997,8,24,4,4,68.0083,0.0958,123,60,1,"1 24"
120,1998,8,24,4,4,101.244,0.0896,51,20,1,"1 24"
120,1999,8,24,4,4,60.26,0.1154,55,28,1,"1 24"
120,2000,8,24,4,4,47.7582,0.05855,64,22,1,"1 24"
120,2001,8,24,4,4,58.042,0.10955,NA,NA,1,"1 24"
120,2002,8,24,4,4,79.9527,0.0267,NA,NA,1,"1 24"
120,2003,8,24,4,4,53.8417,NA,12,8,1,"1 24"
120,2004,8,24,4,4,48.667,NA,15,13,1,"1 24"
120,2005,8,24,4,4,54.369,NA,17,12,1,"1 24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,26,4,4,135.55,0.1771,90,30,1,"1 26"
120,1997,8,26,4,4,111.317,0.1713,129,55,1,"1 26"
120,1998,8,26,4,4,94.3667,3e-04,57,33,1,"1 26"
120,1999,8,26,4,4,179.975,0.0912,133,36,1,"1 26"
120,2000,8,26,4,4,172.412,NA,62,34,1,"1 26"
120,2001,8,26,4,4,118.156,0.1932,NA,NA,1,"1 26"
120,2002,8,26,4,4,200.692,0.0183,NA,NA,1,"1 26"
120,2003,8,26,4,4,123.672,NA,58,16,1,"1 26"
120,2004,8,26,4,4,106.588,NA,41,19,1,"1 26"
120,2005,8,26,4,4,125.354,NA,43,19,1,"1 26"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,27,16,17,167.158,0.1113,116,44,1,"1 27"
120,1997,8,27,16,17,249.5,0.1647,148,68,1,"1 27"
120,1998,8,27,16,17,361.475,0.0538,162,55,1,"1 27"
120,1999,8,27,16,17,305.231,0.0317,518,61,1,"1 27"
120,2000,8,27,16,17,439.071,0.1183,97,40,1,"1 27"
120,2001,8,27,16,17,274.896,0.1815,NA,NA,1,"1 27"
120,2002,8,27,16,17,320.474,0.0177,NA,NA,1,"1 27"
120,2003,8,27,16,17,307.703,NA,50,28,1,"1 27"
120,2004,8,27,16,17,331.924,NA,20,16,1,"1 27"
120,2005,8,27,16,17,253.63,NA,NA,1,1,"1 27"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,28,4,4,63.05,0.2067,124,39,1,"1 28"
120,1997,8,28,4,4,119.567,0.3316,336,84,1,"1 28"
120,1998,8,28,4,4,199.842,0.3567,260,66,1,"1 28"
120,1999,8,28,4,4,263.107,0.4787,343,70,1,"1 28"
120,2000,8,28,4,4,144.038,NA,121,38,1,"1 28"
120,2001,8,28,4,4,168.311,0.20065,NA,NA,1,"1 28"
120,2002,8,28,4,4,153.774,0.2473,NA,NA,1,"1 28"
120,2003,8,28,4,4,206.105,NA,46,24,1,"1 28"
120,2004,8,28,4,4,181.372,NA,34,21,1,"1 28"
120,2005,8,28,4,4,166.414,NA,31,15,1,"1 28"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,29,1,1,103.55,0.3082,149,39,1,"1 29"
120,1997,8,29,1,1,221.15,0.2131,373,107,1,"1 29"
120,1998,8,29,1,1,262.05,0.1875,247,63,1,"1 29"
120,1999,8,29,1,1,186.917,0.3814,251,68,1,"1 29"
120,2000,8,29,1,1,184.192,0.1721,116,39,1,"1 29"
120,2001,8,29,1,1,215.631,0.1737,NA,NA,1,"1 29"
120,2002,8,29,1,1,239.149,0.1121,NA,NA,1,"1 29"
120,2003,8,29,1,1,410.075,NA,27,18,1,"1 29"
120,2004,8,29,1,1,182.887,NA,27,14,1,"1 29"
120,2005,8,29,1,1,88.42,NA,106,24,1,"1 29"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,30,16,17,74.175,0.1072,89,36,1,"1 30"
120,1997,8,30,16,17,81.725,0.0698,189,85,1,"1 30"
120,1998,8,30,16,17,180.725,0.0188,166,44,1,"1 30"
120,1999,8,30,16,17,314.13,0.0795,362,51,1,"1 30"
120,2000,8,30,16,17,217.804,NA,206,34,1,"1 30"
120,2001,8,30,16,17,206.232,0.0726,NA,NA,1,"1 30"
120,2002,8,30,16,17,238.417,0.0513,NA,NA,1,"1 30"
120,2003,8,30,16,17,276.936,NA,48,21,1,"1 30"
120,2004,8,30,16,17,347.992,NA,29,18,1,"1 30"
120,2005,8,30,16,17,286.359,NA,61,30,1,"1 30"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,31,1,1,195,0.0292,87,25,1,"1 31"
120,1997,8,31,1,1,52.0333,0,164,57,1,"1 31"
120,1998,8,31,1,1,50.2833,0.0104,46,26,1,"1 31"
120,1999,8,31,1,1,45.125,0.02,41,24,1,"1 31"
120,2000,8,31,1,1,46.0457,0.0164,46,19,1,"1 31"
120,2001,8,31,1,1,62.9877,0.05525,NA,NA,1,"1 31"
120,2002,8,31,1,1,66.8825,0,NA,NA,1,"1 31"
120,2003,8,31,1,1,42.4062,NA,11,6,1,"1 31"
120,2004,8,31,1,1,40.8958,NA,7,4,1,"1 31"
120,2005,8,31,1,1,38.967,NA,17,14,1,"1 31"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,32,2,2,34.683,0.0656,44,18,1,"1 32"
120,1997,8,32,2,2,51.6165,0.0446,87,36,1,"1 32"
120,1998,8,32,2,2,47.0417,0.0837,40,19,1,"1 32"
120,1999,8,32,2,2,45.3283,0.0259,51,22,1,"1 32"
120,2000,8,32,2,2,65.2378,NA,28,21,1,"1 32"
120,2001,8,32,2,2,57.367,0.04685,NA,NA,1,"1 32"
120,2002,8,32,2,2,85.5357,0,NA,NA,1,"1 32"
120,2003,8,32,2,2,49.708,NA,21,10,1,"1 32"
120,2004,8,32,2,2,120.633,NA,20,12,1,"1 32"
120,2005,8,32,2,2,59.341,NA,17,12,1,"1 32"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,33,4,5,57.933,0.0466,47,27,1,"1 33"
120,1997,8,33,4,5,89.9167,0,126,54,1,"1 33"
120,1998,8,33,4,5,129.492,0.0509,47,31,1,"1 33"
120,1999,8,33,4,5,53.8,0.1322,68,33,1,"1 33"
120,2000,8,33,4,5,121.825,0.0184,74,27,1,"1 33"
120,2001,8,33,4,5,116.607,0.1143,NA,NA,1,"1 33"
120,2002,8,33,4,5,165.895,0,NA,NA,1,"1 33"
120,2003,8,33,4,5,167.984,NA,29,13,1,"1 33"
120,2004,8,33,4,5,169.019,NA,48,13,1,"1 33"
120,2005,8,33,4,5,149.974,NA,69,28,1,"1 33"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,34,16,17,61.817,0.033,65,33,1,"1 34"
120,1997,8,34,16,17,64.025,0.0704,173,75,1,"1 34"
120,1998,8,34,16,17,88.8333,0,80,35,1,"1 34"
120,1999,8,34,16,17,85.6917,0.0112,91,32,1,"1 34"
120,2000,8,34,16,17,155.9,0.0065,157,36,1,"1 34"
120,2001,8,34,16,17,166.412,0.0886,NA,NA,1,"1 34"
120,2002,8,34,16,17,286.854,0.0155,NA,NA,1,"1 34"
120,2003,8,34,16,17,215.603,NA,30,15,1,"1 34"
120,2004,8,34,16,17,328.775,NA,45,20,1,"1 34"
120,2005,8,34,16,17,218.368,NA,64,27,1,"1 34"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,35,16,17,297.133,0.0998,118,47,1,"1 35"
120,1997,8,35,16,17,91.9417,0.0367,163,81,1,"1 35"
120,1998,8,35,16,17,203.65,0.0931,95,50,1,"1 35"
120,1999,8,35,16,17,151.228,0.0651,404,30,1,"1 35"
120,2000,8,35,16,17,214.054,0.0542,130,32,1,"1 35"
120,2001,8,35,16,17,327.121,0.17625,NA,NA,1,"1 35"
120,2002,8,35,16,17,259.741,0.0417,NA,NA,1,"1 35"
120,2003,8,35,16,17,358.28,NA,74,24,1,"1 35"
120,2004,8,35,16,17,312.441,NA,53,27,1,"1 35"
120,2005,8,35,16,17,196.585,NA,89,23,1,"1 35"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,44,4,5,25.166,0.0936,29,17,1,"1 44"
120,1997,8,44,4,5,96.4165,0.2579,124,53,1,"1 44"
120,1998,8,44,4,5,172.958,0.0339,95,53,1,"1 44"
120,1999,8,44,4,5,308.317,0.1452,84,39,1,"1 44"
120,2000,8,44,4,5,143.954,0.0518,108,47,1,"1 44"
120,2001,8,44,4,5,149.546,0.20005,NA,NA,1,"1 44"
120,2002,8,44,4,5,211.697,0.0215,NA,NA,1,"1 44"
120,2003,8,44,4,5,205.625,NA,66,27,1,"1 44"
120,2004,8,44,4,5,201.045,NA,49,21,1,"1 44"
120,2005,8,44,4,5,157.045,NA,121,28,1,"1 44"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,45,4,4,29.725,0.0715,15,11,1,"1 45"
120,1997,8,45,4,4,39.2,0.1072,65,28,1,"1 45"
120,1998,8,45,4,4,60.2333,0.0156,61,31,1,"1 45"
120,1999,8,45,4,4,193.033,0.0995,117,41,1,"1 45"
120,2000,8,45,4,4,174.55,NA,24,19,1,"1 45"
120,2001,8,45,4,4,75.675,0.09255,NA,NA,1,"1 45"
120,2002,8,45,4,4,127,0.0167,NA,NA,1,"1 45"
120,2003,8,45,4,4,158.33,NA,66,19,1,"1 45"
120,2004,8,45,4,4,175.43,NA,22,15,1,"1 45"
120,2005,8,45,4,4,144.75,NA,44,19,1,"1 45"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,46,16,17,120.175,0.0551,47,22,1,"1 46"
120,1997,8,46,16,17,55.5165,0.1544,85,46,1,"1 46"
120,1998,8,46,16,17,250.842,0,113,41,1,"1 46"
120,1999,8,46,16,17,107.678,0.0986,400,45,1,"1 46"
120,2000,8,46,16,17,229.183,0.0163,72,35,1,"1 46"
120,2001,8,46,16,17,276.284,0.16645,NA,NA,1,"1 46"
120,2002,8,46,16,17,253.647,0.0182,49,11,1,"1 46"
120,2003,8,46,16,17,266.708,NA,26,19,1,"1 46"
120,2004,8,46,16,17,319.305,NA,36,18,1,"1 46"
120,2005,8,46,16,17,324.934,NA,59,25,1,"1 46"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,48,2,2,129.625,0.1247,59,25,1,"1 48"
120,1997,8,48,2,2,198.525,0.304,209,76,1,"1 48"
120,1998,8,48,2,2,363.425,0.0467,155,54,1,"1 48"
120,1999,8,48,2,2,206.921,0.2532,137,50,1,"1 48"
120,2000,8,48,2,2,302.729,0.0669,81,40,1,"1 48"
120,2001,8,48,2,2,205.779,0.24635,NA,NA,1,"1 48"
120,2002,8,48,2,2,295.34,0.0466,65,31,1,"1 48"
120,2003,8,48,2,2,286.975,NA,40,16,1,"1 48"
120,2004,8,48,2,2,242.817,NA,21,12,1,"1 48"
120,2005,8,48,2,2,165.703,NA,68,21,1,"1 48"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,50,8,9,131.467,0.1726,112,34,1,"1 50"
120,1997,8,50,8,9,259.608,0.0538,165,81,1,"1 50"
120,1998,8,50,8,9,307.15,0.0908,132,51,1,"1 50"
120,1999,8,50,8,9,205.45,0.3562,331,67,1,"1 50"
120,2000,8,50,8,9,226.1,0.1203,166,54,1,"1 50"
120,2001,8,50,8,9,240.587,0.2352,NA,NA,1,"1 50"
120,2002,8,50,8,9,260.946,0.1462,44,27,1,"1 50"
120,2003,8,50,8,9,257.95,NA,76,33,1,"1 50"
120,2004,8,50,8,9,192.762,NA,20,10,1,"1 50"
120,2005,8,50,8,9,203.608,NA,73,22,1,"1 50"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,53,4,4,143.875,0.1045,61,24,1,"1 53"
120,1997,8,53,4,4,299.833,0.1196,113,55,1,"1 53"
120,1998,8,53,4,4,266.65,0.0556,84,37,1,"1 53"
120,1999,8,53,4,4,252.9,0.0216,134,44,1,"1 53"
120,2000,8,53,4,4,193.388,0.0934,50,33,1,"1 53"
120,2001,8,53,4,4,135.6,0.2915,NA,NA,1,"1 53"
120,2002,8,53,4,4,178.993,0.064,21,14,1,"1 53"
120,2003,8,53,4,4,145.113,NA,35,12,1,"1 53"
120,2004,8,53,4,4,150.612,NA,21,16,1,"1 53"
120,2005,8,53,4,4,106.051,NA,31,18,1,"1 53"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,56,2,2,93.617,0.3294,71,22,1,"1 56"
120,1997,8,56,2,2,150.375,0.1522,116,53,1,"1 56"
120,1998,8,56,2,2,250.083,0.0156,176,51,1,"1 56"
120,1999,8,56,2,2,230.283,0.143,143,37,1,"1 56"
120,2000,8,56,2,2,363.946,NA,89,38,1,"1 56"
120,2001,8,56,2,2,205.409,0.17885,NA,NA,1,"1 56"
120,2002,8,56,2,2,284.608,0.1603,19,14,1,"1 56"
120,2003,8,56,2,2,461.396,NA,30,21,1,"1 56"
120,2004,8,56,2,2,370.779,NA,26,14,1,"1 56"
120,2005,8,56,2,2,187.003,NA,24,15,1,"1 56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,57,8,10,252.742,0.1262,108,34,1,"1 57"
120,1997,8,57,8,10,196.067,0.0515,187,74,1,"1 57"
120,1998,8,57,8,10,296.358,0.0119,176,56,1,"1 57"
120,1999,8,57,8,10,256.783,0.0016,166,66,1,"1 57"
120,2000,8,57,8,10,336.884,NA,102,47,1,"1 57"
120,2001,8,57,8,10,236.841,0.111,NA,NA,1,"1 57"
120,2002,8,57,8,10,273.201,0.4959,48,20,1,"1 57"
120,2003,8,57,8,10,346.021,NA,40,19,1,"1 57"
120,2004,8,57,8,10,219.562,NA,29,15,1,"1 57"
120,2005,8,57,8,10,210.134,NA,95,24,1,"1 57"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,58,4,5,130.041,0.1276,90,38,1,"1 58"
120,1997,8,58,4,5,138.292,0.0305,146,58,1,"1 58"
120,1998,8,58,4,5,91.0583,0,82,28,1,"1 58"
120,1999,8,58,4,5,95.05,0.023,139,55,1,"1 58"
120,2000,8,58,4,5,115.579,NA,39,20,1,"1 58"
120,2001,8,58,4,5,81.1835,0.1349,NA,NA,1,"1 58"
120,2002,8,58,4,5,153.473,0.0422,38,23,1,"1 58"
120,2003,8,58,4,5,96.4295,NA,48,21,1,"1 58"
120,2004,8,58,4,5,61.102,NA,28,12,1,"1 58"
120,2005,8,58,4,5,59.76,NA,35,15,1,"1 58"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,62,4,5,196.992,0.1805,106,38,1,"1 62"
120,1997,8,62,4,5,219,0.1758,196,86,1,"1 62"
120,1998,8,62,4,5,353.65,0.1061,85,34,1,"1 62"
120,1999,8,62,4,5,200.842,0.513,264,64,1,"1 62"
120,2000,8,62,4,5,202.054,0.2078,137,52,1,"1 62"
120,2001,8,62,4,5,194.235,0.34395,NA,NA,1,"1 62"
120,2002,8,62,4,5,169.034,0.1584,105,33,1,"1 62"
120,2003,8,62,4,5,251.407,NA,38,22,1,"1 62"
120,2004,8,62,4,5,224.774,NA,32,14,1,"1 62"
120,2005,8,62,4,5,210.3,NA,130,34,1,"1 62"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,67,8,10,227.558,0.1224,84,35,1,"1 67"
120,1997,8,67,8,10,389.708,0.104,128,62,1,"1 67"
120,1998,8,67,8,10,400.792,0.0075,114,41,1,"1 67"
120,1999,8,67,8,10,436.233,0.058,178,54,1,"1 67"
120,2000,8,67,8,10,341.792,0.0595,193,48,1,"1 67"
120,2001,8,67,8,10,276.154,0.122,NA,NA,1,"1 67"
120,2002,8,67,8,10,499.808,0.0458,69,27,1,"1 67"
120,2003,8,67,8,10,503.967,NA,75,25,1,"1 67"
120,2004,8,67,8,10,437.193,NA,14,8,1,"1 67"
120,2005,8,67,8,10,396.458,NA,119,28,1,"1 67"
