Cedar Creek Ecosystem Science Reserve
2660 Fawn Lake Dr. NE
Bethel, MN 55005
Office:  763-434-5131
Fax:  763-434-7361
Data URL: http://cbs-cedarcreek.oit.umn.edu/research/data

Experiment Investigators:

Tilman, David 
Reich, Peter
Knope, Johannes
Wedin, David
_________________________________________________________________________

USER AGREEMENT:  As a condition for access to data provided by researchers of the Cedar Creek LTER, I agree to abide by the following code of ethics.

A. I agree to notify the Cedar Creek LTER scientists who gathered data if I would like to use those data in any publication. I acknowledge that these data were gathered by Cedar Creek scientists because they had already perceived the importance of these data for a variety of scientific and societal issues. I will provide them with formal recognition that, at their discretion, may include co-authorship or acknowledgements on publications.

B. I realize that the researchers who gathered these data may be using them for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that I might wish to prepare. In this case, my preparation of any work may be delayed, at the option of the Cedar Creek researchers involved, until their work is completed.

C. Because it may be possible to misinterpret a data set if it is taken out of context, I will seek the assistance and opinion of those Cedar Creek researchers involved in the design of a study and the collection of the data as I analyze the data. Moreover, I realize that this computer data set is not complete, and it may contain errors. The complete data set includes extensive written documentation, which should be referenced to reduce the chance of errors in data and errors of interpretation.

_________________________________________________________________________


"Exp","Year","Month","Plot","NumSp","SpNum","AbvBioAnnProd","noh020tot","invrichness","Field","FieldPlot"
120,2000,8,34,16,17,155.9,0.0065,5,1,"1 34"
120,2001,8,34,16,17,166.412,0.0886,2,1,"1 34"
120,2002,8,34,16,17,286.854,0.0155,6,1,"1 34"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,35,16,17,297.133,0.0998,16,1,"1 35"
120,1997,8,35,16,17,91.9417,0.0367,8,1,"1 35"
120,1998,8,35,16,17,203.65,0.0931,4,1,"1 35"
120,1999,8,35,16,17,151.228,0.0651,5,1,"1 35"
120,2000,8,35,16,17,214.054,0.0542,5,1,"1 35"
120,2001,8,35,16,17,327.121,0.17625,4,1,"1 35"
120,2002,8,35,16,17,259.741,0.0417,7,1,"1 35"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,46,16,17,120.175,0.0551,15,1,"1 46"
120,1997,8,46,16,17,55.5165,0.1544,14,1,"1 46"
120,1998,8,46,16,17,250.842,0,13,1,"1 46"
120,1999,8,46,16,17,107.678,0.0986,14,1,"1 46"
120,2000,8,46,16,17,229.183,0.0163,11,1,"1 46"
120,2001,8,46,16,17,276.284,0.16645,6,1,"1 46"
120,2002,8,46,16,17,253.647,0.0182,7,1,"1 46"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,68,16,17,210.442,0.1469,13,1,"1 68"
120,1997,8,68,16,17,324.717,0.0508,12,1,"1 68"
120,1998,8,68,16,17,238.842,0.0127,12,1,"1 68"
120,1999,8,68,16,17,567.867,0.0515,5,1,"1 68"
120,2000,8,68,16,17,363.796,0.0849,3,1,"1 68"
120,2001,8,68,16,17,373.197,0.24605,5,1,"1 68"
120,2002,8,68,16,17,560.631,0.0173,6,1,"1 68"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,82,16,17,360.275,0.0832,10,1,"1 82"
120,1997,8,82,16,17,183.75,0.1236,7,1,"1 82"
120,1998,8,82,16,17,289.108,0.0098,5,1,"1 82"
120,1999,8,82,16,17,343.192,0.1066,6,1,"1 82"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,82,16,17,208.283,0.12035,3,1,"1 82"
120,2002,8,82,16,17,285.166,0.0705,3,1,"1 82"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,89,16,16,159.367,0.1734,14,1,"1 89"
120,1997,8,89,16,16,185.958,0.3231,5,1,"1 89"
120,1998,8,89,16,16,346.783,0.0145,5,1,"1 89"
120,1999,8,89,16,16,289.292,0.1737,2,1,"1 89"
120,2000,8,89,16,16,408.829,0.1321,5,1,"1 89"
120,2001,8,89,16,16,248.351,0.1381,1,1,"1 89"
120,2002,8,89,16,16,307.732,0.0287,4,1,"1 89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,107,16,17,113.008,0.0052,10,1,"1 107"
120,1997,8,107,16,17,69.8247,0.1328,14,1,"1 107"
120,1998,8,107,16,17,256.417,0.0477,7,1,"1 107"
120,1999,8,107,16,17,188.725,0.0274,9,1,"1 107"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,107,16,17,207.464,0.0819,5,1,"1 107"
120,2002,8,107,16,17,199.35,0,5,1,"1 107"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,108,16,17,101.442,0.1012,12,1,"1 108"
120,1997,8,108,16,17,159.025,0.1006,14,1,"1 108"
120,1998,8,108,16,17,190.1,0.0268,6,1,"1 108"
120,1999,8,108,16,17,164.908,0.0024,5,1,"1 108"
120,2000,8,108,16,17,273.158,0.0151,5,1,"1 108"
120,2001,8,108,16,17,256.079,0.06975,4,1,"1 108"
120,2002,8,108,16,17,323.139,0.0022,5,1,"1 108"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,136,16,17,289.483,0.4402,13,1,"1 136"
120,1997,8,136,16,17,330.908,0.3088,6,1,"1 136"
120,1998,8,136,16,17,397.125,0.1055,6,1,"1 136"
120,1999,8,136,16,17,468.433,0.1494,7,1,"1 136"
120,2000,8,136,16,17,398.696,0.1366,4,1,"1 136"
120,2001,8,136,16,17,288.286,0.1247,4,1,"1 136"
120,2002,8,136,16,17,441.603,0.0512,3,1,"1 136"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,156,16,17,42.792,0.2196,16,1,"1 156"
120,1997,8,156,16,17,103.167,0.18,14,1,"1 156"
120,1998,8,156,16,17,164.5,0.0159,9,1,"1 156"
120,1999,8,156,16,17,135.449,0.0207,10,1,"1 156"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,156,16,17,186.254,0.1188,4,1,"1 156"
120,2002,8,156,16,17,194.129,0,6,1,"1 156"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,160,16,17,52.833,0.1227,11,1,"1 160"
120,1997,8,160,16,17,161.934,0.0432,8,1,"1 160"
120,1998,8,160,16,17,148.008,0.0311,4,1,"1 160"
120,1999,8,160,16,17,65.55,0,7,1,"1 160"
120,2000,8,160,16,17,105.283,0.0134,10,1,"1 160"
120,2001,8,160,16,17,150.552,0.13115,6,1,"1 160"
120,2002,8,160,16,17,167.133,0,6,1,"1 160"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,164,16,17,142.842,0.1738,11,1,"1 164"
120,1997,8,164,16,17,233.683,0.2751,6,1,"1 164"
120,1998,8,164,16,17,269.242,0.0119,5,1,"1 164"
120,1999,8,164,16,17,193.508,0.0165,6,1,"1 164"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,164,16,17,225.166,0.0838,2,1,"1 164"
120,2002,8,164,16,17,272.499,0.0608,2,1,"1 164"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,169,16,17,95.434,0.1585,10,1,"1 169"
120,1997,8,169,16,17,227.592,0.1731,7,1,"1 169"
120,1998,8,169,16,17,274.95,0.3096,5,1,"1 169"
120,1999,8,169,16,17,239.15,0.0821,4,1,"1 169"
120,2000,8,169,16,17,317.846,0.0537,6,1,"1 169"
120,2001,8,169,16,17,366.096,0.13645,5,1,"1 169"
120,2002,8,169,16,17,361.628,0.1011,2,1,"1 169"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,174,16,17,302.591,0.1794,9,1,"1 174"
120,1997,8,174,16,17,349.85,0.2096,10,1,"1 174"
120,1998,8,174,16,17,379.492,0.0203,6,1,"1 174"
120,1999,8,174,16,17,332.658,0.2055,6,1,"1 174"
120,2000,8,174,16,17,389.442,0.1601,7,1,"1 174"
120,2001,8,174,16,17,359.38,0.1553,2,1,"1 174"
120,2002,8,174,16,17,470.983,1.1352,4,1,"1 174"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,186,16,17,280.567,0.0867,12,1,"1 186"
120,1997,8,186,16,17,245.117,0.1755,7,1,"1 186"
120,1998,8,186,16,17,258.192,0.0233,6,1,"1 186"
120,1999,8,186,16,17,272.392,0,4,1,"1 186"
120,2000,8,186,16,17,341.871,0.0286,3,1,"1 186"
120,2001,8,186,16,17,397.899,0.0781,4,1,"1 186"
120,2002,8,186,16,17,529.467,0.0788,4,1,"1 186"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,202,16,17,622.617,0.2091,8,1,"1 202"
120,1997,8,202,16,17,490.342,0.063,11,1,"1 202"
120,1998,8,202,16,17,571.058,0.0899,5,1,"1 202"
120,1999,8,202,16,17,461.267,0.1605,6,1,"1 202"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2001,8,202,16,17,511.5,0.11005,5,1,"1 202"
120,2002,8,202,16,17,600.179,0,3,1,"1 202"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,220,16,17,143.3,0.1248,10,1,"1 220"
120,1997,8,220,16,17,151.358,0.1179,5,1,"1 220"
120,1998,8,220,16,17,151.025,0.027,9,1,"1 220"
120,1999,8,220,16,17,248.95,0.0539,12,1,"1 220"
120,2000,8,220,16,17,250.792,0.04335,2,1,"1 220"
120,2001,8,220,16,17,224.563,0.12505,3,1,"1 220"
120,2002,8,220,16,17,372.862,0.1518,4,1,"1 220"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,227,16,17,106.592,0.1733,6,1,"1 227"
120,1997,8,227,16,17,137.842,0.0325,5,1,"1 227"
120,1998,8,227,16,17,338.467,0.0351,4,1,"1 227"
120,1999,8,227,16,17,337.217,0.0645,6,1,"1 227"
120,2000,8,227,16,17,399.854,0.1496,4,1,"1 227"
120,2001,8,227,16,17,319.305,0.18985,5,1,"1 227"
120,2002,8,227,16,17,455.705,0.1062,3,1,"1 227"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,235,16,17,149.142,0.0561,12,1,"1 235"
120,1997,8,235,16,17,171.142,0.1157,21,1,"1 235"
120,1998,8,235,16,17,354.425,0.0861,7,1,"1 235"
120,1999,8,235,16,17,363.367,0.0291,8,1,"1 235"
120,2000,8,235,16,17,402.258,0.0631,4,1,"1 235"
120,2001,8,235,16,17,302.288,0.0976,2,1,"1 235"
120,2002,8,235,16,17,525.653,0.0689,3,1,"1 235"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,239,16,17,273.792,0.4279,12,1,"1 239"
120,1997,8,239,16,17,268.291,0.2488,7,1,"1 239"
120,1998,8,239,16,17,359.425,0.1715,3,1,"1 239"
120,1999,8,239,16,17,339.783,0.092,6,1,"1 239"
120,2000,8,239,16,17,350.629,0.2199,4,1,"1 239"
120,2001,8,239,16,17,324.337,0.15275,3,1,"1 239"
120,2002,8,239,16,17,447.104,0.1041,3,1,"1 239"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,242,16,17,96.217,0.1975,15,1,"1 242"
120,1997,8,242,16,17,184.717,0.2422,14,1,"1 242"
120,1998,8,242,16,17,159.608,0.2454,10,1,"1 242"
120,1999,8,242,16,17,187.813,0.0664,8,1,"1 242"
120,2000,8,242,16,17,223.496,0.0888,7,1,"1 242"
120,2001,8,242,16,17,261.183,0.1251,5,1,"1 242"
120,2002,8,242,16,17,309.413,0.0431,6,1,"1 242"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,253,16,17,102.617,0.2036,12,1,"1 253"
120,1997,8,253,16,17,88.5833,0.3092,6,1,"1 253"
120,1998,8,253,16,17,377.775,0.2309,3,1,"1 253"
120,1999,8,253,16,17,238.525,0.1838,3,1,"1 253"
120,2000,8,253,16,17,251.375,0.2521,5,1,"1 253"
120,2001,8,253,16,17,279.221,0.0887,3,1,"1 253"
120,2002,8,253,16,17,415.394,0.0906,2,1,"1 253"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,257,16,17,193.067,0.1706,11,1,"1 257"
120,1997,8,257,16,17,222.358,0.1055,5,1,"1 257"
120,1998,8,257,16,17,284.683,0.0161,7,1,"1 257"
120,1999,8,257,16,17,512.925,0.065,1,1,"1 257"
120,2000,8,257,16,17,354.271,0.0816,2,1,"1 257"
120,2001,8,257,16,17,468.003,0.08505,3,1,"1 257"
120,2002,8,257,16,17,568.405,0,5,1,"1 257"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,273,16,17,489.442,0.2389,9,1,"1 273"
120,1997,8,273,16,17,371.767,0.0614,7,1,"1 273"
120,1998,8,273,16,17,414.917,0.0109,4,1,"1 273"
120,1999,8,273,16,17,486.635,0.0463,2,1,"1 273"
120,2000,8,273,16,17,682.284,0.1254,1,1,"1 273"
120,2001,8,273,16,17,552.333,0.38115,1,1,"1 273"
120,2002,8,273,16,17,593.892,0.0188,1,1,"1 273"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,299,16,17,144.95,0.1477,10,1,"1 299"
120,1997,8,299,16,17,200.967,0.215,8,1,"1 299"
120,1998,8,299,16,17,277.675,0.0205,4,1,"1 299"
120,1999,8,299,16,17,368.651,0.0236,3,1,"1 299"
120,2000,8,299,16,17,354.146,0.0421,2,1,"1 299"
120,2001,8,299,16,17,320.779,0.5609,3,1,"1 299"
120,2002,8,299,16,17,394.113,0.0496,6,1,"1 299"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,301,16,17,171.55,0.4448,14,1,"1 301"
120,1997,8,301,16,17,147.708,0.4687,9,1,"1 301"
120,1998,8,301,16,17,212.242,0.0387,8,1,"1 301"
120,1999,8,301,16,17,218.933,0.1599,8,1,"1 301"
120,2000,8,301,16,17,295.487,0.09,6,1,"1 301"
120,2001,8,301,16,17,289.185,0.17925,7,1,"1 301"
120,2002,8,301,16,17,351.167,0.0918,5,1,"1 301"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,318,16,17,104.758,0.1966,11,1,"1 318"
120,1997,8,318,16,17,244.192,0.1057,12,1,"1 318"
120,1998,8,318,16,17,348.733,0.1783,6,1,"1 318"
120,1999,8,318,16,17,276.17,0.179,8,1,"1 318"
120,2000,8,318,16,17,340.533,0.0785,7,1,"1 318"
120,2001,8,318,16,17,235.083,0.27625,5,1,"1 318"
120,2002,8,318,16,17,397.487,0.0918,4,1,"1 318"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,328,16,17,130.108,0.2814,16,1,"1 328"
120,1997,8,328,16,17,451.483,0.0856,9,1,"1 328"
120,1998,8,328,16,17,292.042,0.0779,4,1,"1 328"
120,1999,8,328,16,17,318.648,0.2391,3,1,"1 328"
120,2000,8,328,16,17,421.45,0.1841,7,1,"1 328"
120,2001,8,328,16,17,253.492,0.2075,2,1,"1 328"
120,2002,8,328,16,17,505.404,0.1769,3,1,"1 328"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,329,16,17,199.4,0.3141,7,1,"1 329"
120,1997,8,329,16,17,190.134,0.165,7,1,"1 329"
120,1998,8,329,16,17,292.025,0.2268,4,1,"1 329"
120,1999,8,329,16,17,219.857,0.0334,7,1,"1 329"
120,2000,8,329,16,17,353.508,0.0937,3,1,"1 329"
120,2001,8,329,16,17,343.558,0.33195,4,1,"1 329"
120,2002,8,329,16,17,344.088,0.1806,2,1,"1 329"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,331,16,17,105.183,0.2753,18,1,"1 331"
120,1997,8,331,16,17,160.4,0.1569,10,1,"1 331"
120,1998,8,331,16,17,274.742,0.0507,6,1,"1 331"
120,1999,8,331,16,17,359.35,0.0844,8,1,"1 331"
120,2000,8,331,16,17,402.538,0.0795,8,1,"1 331"
120,2001,8,331,16,17,279.979,0.1907,5,1,"1 331"
120,2002,8,331,16,17,413.425,0.1013,5,1,"1 331"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,336,16,17,132.842,0.1696,15,1,"1 336"
120,1997,8,336,16,17,212.233,0.0629,9,1,"1 336"
120,1998,8,336,16,17,227.75,0.0207,7,1,"1 336"
120,1999,8,336,16,17,269.476,0.0088,5,1,"1 336"
120,2000,8,336,16,17,335.813,0.0352,7,1,"1 336"
120,2001,8,336,16,17,307.779,0.0872,3,1,"1 336"
120,2002,8,336,16,17,375.437,0.0972,3,1,"1 336"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1996,8,339,16,17,152.4,0.3842,15,1,"1 339"
120,1997,8,339,16,17,279.35,0.1957,8,1,"1 339"
120,1998,8,339,16,17,356.833,0.0214,5,1,"1 339"
120,1999,8,339,16,17,249.533,0.0281,6,1,"1 339"
120,2000,8,339,16,17,377.308,0.1279,4,1,"1 339"
120,2001,8,339,16,17,434.158,0.14955,4,1,"1 339"
120,2002,8,339,16,17,502.062,0.0461,7,1,"1 339"
