subarea,year,AstropectenNum,AstropectenBms,AsteriasnNum,AsteriasBms,LeptasteriasNum,LeptastiasBms,CancerNum,CancerBms,ScalNum,ScalBms
LI,2002,1064.394943,4.866179206,1507.667874,3.254032952,0,0,26.65064792,1.611652133,71.74135938,1057.257433
LI,2003,5938.992911,22.12903351,2226.962109,8.661027477,0,0,43.15484512,2.265484766,323.6868149,3132.262017
LI,2004,3646.879363,5.995886714,1326.55291,11.92716998,0,0,16.71461544,0.469464389,140.4117567,2712.9549
LI,2005,4364.772693,6.917514855,2404.014313,19.43188177,0,0,16.21398772,0.934441445,93.50056727,1928.1122
LI,2006,3733.418056,13.80671418,1955.441569,11.65863683,0,0,22.89250968,0.746853935,61.80457971,1459.019181
LI,2007,5698.229794,16.26202176,819.2180852,5.43816195,0,0,28.09035228,0.494527143,72.23981286,1013.499824
LI,2008,3816.915306,7.813640271,560.0535897,8.50482088,69.35768016,0.082934077,23.61122403,1.009972966,122.267148,1313.656845
LI,2009,6278.195168,19.03658261,803.7036199,6.225910175,15.10746067,0.015107461,37.29270398,0.465177221,220.1776866,3384.838191
LI,2010,7479.625891,13.96443376,506.4446933,8.555840254,322.6554652,0.779550571,9.433549506,0.132644895,147.4224223,2577.820182
LI,2011,3417.822005,11.33348911,132.0109002,3.314624861,294.7446581,0.351276948,16.87383223,0.203574209,148.2214281,3264.165629
LI,2012,6310.526164,22.02246115,190.8905473,3.893604376,0,0,12.23134157,0.752303662,125.0061906,2238.735919
LI,2013,3321.186284,13.34166703,56.94503058,0.860384407,0,0,9.904013706,0.554303268,94.65699902,2102.8353
LI,2014,,,,,,,,,373.3923825,3723.354633
LI,2015,,,,,,,,,276.4926524,2001.26335
LI,2016,,,,,,,,,112.8135145,1907.201
LI,2017,,,,,,,,,74.99972926,1850.885592
LI,2018,4692.83305,23743.84858,3.918019582,45.36319929,0,0,7.11173624,72.5658173,76.66215241,1459.919628
LI,2019,4405.449174,22311.94244,23.9952919,499.2800192,4.399905705,68.19853843,6.569811725,61.11485415,36.92183986,926.5432312
LI,2020,3464.539435,17542.09796,11.61098391,592.5688056,0,0,78.41547809,7354.332816,75.03283099,1269.020177
LI,2021,6216.051351,31368.03372,3.738970904,202.3727213,0,0,12.14134058,144.3736229,31.29174183,726.9807939
LI,2022,5941.380603,32188.06056,0,0,0,0,26.65068859,299.1694094,52.31643684,1153.741037
,,,,,,,,,,,
NYB,2000,1835.927076,5.738355024,1033.430996,3.460871732,0,0,44.29073276,4.630975118,310.0952792,3455.419064
NYB,2001,10595.73022,28.52913378,1364.713844,13.6330329,0,0,37.75903884,2.664796807,140.9313767,1516.413837
NYB,2002,1157.495884,5.432823308,349.5721038,2.250510315,0,0,24.72362826,1.68372984,122.5151004,1487.371351
NYB,2003,5887.770295,37.94307706,259.8572657,2.538685991,0,0,101.7339049,9.404695053,254.2423471,2750.618341
NYB,2004,2634.430432,8.439960558,1399.572997,14.32059055,0,0,20.90032483,0.787990861,101.7565386,1857.077587
NYB,2005,1412.811102,7.528313099,1272.601299,35.10050834,0,0,51.87046498,1.023084337,129.7776179,2399.423807
NYB,2006,2247.754806,6.095937961,725.0331889,11.02393796,50.99958507,0.161558126,33.34031158,1.387542352,121.9110757,2329.11617
NYB,2007,1372.461997,4.739756122,214.8963402,1.52866812,11.07833886,0.016523345,99.05171122,0.901139674,222.2492442,2370.463904
NYB,2008,3011.814344,10.62651552,132.6341323,0.599313486,0,0,38.13032335,0.620378665,330.8268173,2478.818933
NYB,2009,4376.285132,20.87624189,647.7841647,7.431937186,11.65047666,0.058341659,106.2950551,0.843629453,291.0062189,4207.269337
NYB,2010,4035.584041,17.39276717,431.4292254,4.873457155,271.7229188,0.760307269,52.50145287,0.758632616,340.9331859,5580.393019
NYB,2011,4731.132639,15.00435104,277.7304946,2.692335104,80.23140576,0.09435986,92.89700761,1.355767199,154.4258074,3334.460994
NYB,2012,2974.96353,11.1639328,125.8775285,1.146410365,43.03001925,0.086060039,57.8720857,2.338832839,206.1112029,4085.038614
NYB,2013,1521.855673,5.698407297,78.56351816,0.493423374,0,0,15.8989175,1.388139745,111.645013,1939.465996
NYB,2014,,,,,,,,,178.8843316,2211.168612
NYB,2015,,,,,,,,,293.3322444,1859.893092
NYB,2016,,,,,,,,,209.8177712,2331.177181
NYB,2017,,,,,,,,,292.2902221,6118.503168
NYB,2018,1233.013292,7645.453469,38.12719955,684.852993,1.337718358,13.37718358,43.98257812,2939.466247,211.3641313,3736.19435
NYB,2019,223.1143045,1978.228886,85.0324094,1312.130446,0,0,71.04779488,3563.914007,234.3294852,3445.869964
NYB,2020,3377.368827,14985.23139,20.94361395,1184.782736,0,0,90.7747995,7315.154798,73.44891882,1287.993546
NYB,2021,1851.443552,12978.26489,3.175217641,89.98492263,0,0,50.43154301,2741.738337,75.7695893,1207.859707
NYB,2022,9085.942347,44418.26487,39.38256839,653.7108337,0,0,20.91950668,331.359896,172.9573776,2598.855111
,,,,,,,,,,,
VIR,2000,1265.557558,7.245991491,318.7140721,3.654642635,0,0,87.54185923,4.001099072,288.9123561,5200.163844
VIR,2001,3646.571341,19.77425574,269.7635702,3.853347319,0,0,17.82146016,0.240999075,115.9974299,1077.732642
VIR,2002,3053.805819,7.692490022,563.3716094,1.936431732,0,0,219.7941298,4.958960134,159.530141,614.5434501
VIR,2003,6421.154814,29.28018394,597.9953536,8.709046247,0,0,983.9603524,11.32498367,42.88760377,479.6630708
VIR,2004,2744.843017,9.240085982,533.1566381,1.999118518,0,0,469.1764223,4.533584613,82.1721705,181.9428311
VIR,2005,2306.598815,5.456201277,354.7175156,1.487620271,0,0,527.3602441,3.607904712,148.2805659,618.9807212
VIR,2006,575.878564,2.247550323,23.70453863,0.179326331,36.10059977,0.357964915,120.5425317,3.08752396,233.1578804,2557.312462
VIR,2007,13775.92341,32.77726768,139.172978,0.680235498,0,0,337.3051451,4.139927307,113.7775363,1052.028429
VIR,2008,6118.816927,20.67987363,160.5873655,0.456538408,0,0,499.4942323,8.149598499,310.1091933,1806.390113
VIR,2009,6051.286954,27.05642743,403.1856386,5.829937168,0,0,1068.558605,3.105104562,89.34446932,1110.189646
VIR,2010,7016.228407,21.13576246,161.1576964,1.392593087,14.92480867,0.014924809,209.1318081,0.486848485,5.881813049,10.96867153
VIR,2011,1423.437918,5.206178288,85.39106476,0.707639858,0,0,288.4581272,2.190191454,120.1725265,290.6056409
VIR,2012,11007.72455,46.23599408,311.3298792,3.075866446,0,0,505.7679419,6.287500779,122.0626207,404.1326877
VIR,2013,3819.021223,16.0398353,21.04290592,0.158013094,0,0,500.9568573,4.627913218,104.6947972,525.3930761
VIR,2014,,,,,,,,,386.2867622,539.3681067
VIR,2015,,,,,,,,,152.9357125,215.2583864
VIR,2016,,,,,,,,,20.32282545,26.10067418
VIR,2017,,,,,,,,,26.01159133,56.08605511
VIR,2018,186.8356734,798.9883268,18.22787057,0,0,0,9.113935286,0,39,44.05198935
VIR,2020,22191.64151,68992.51896,0,0,0,0,225.7049621,2848.48157,55.04821809,224.6332635
VIR,2021,3191.348426,18303.83335,14.53479528,99.92671754,54.95080585,152.6411274,173.7011144,345.9435938,19.75504712,88.73745689
VIR,2022,11422.79889,54319.05431,0,0,30.37978429,30.37978429,394.9371957,1002.532881,32,177.3295707
,,,,,,,,,,,
